,HOUSEID,AVG_AGE,HIGH_EDUC,FT_ratio,AVG_WORK_DIST,AVG_TIME
131,30009092,<=30,5,1,<=5 miles,10 - 20
132,30009116,<=30,4,<0.5,10 - 15 miles,10 - 20
133,30009193,50 - 60,4,0.5,Not Sure,non-work
134,30009226,<=30,4,0,<=5 miles,<=10
135,30009251,>60,5,non-work,Not Sure,non-work
136,30009261,>60,5,non-work,Not Sure,non-work
137,30009323,30 - 40,5,<0.5,>15 miles,20 - 30
138,30009362,<=30,5,<0.5,<=5 miles,10 - 20
139,30009389,>60,5,0.5,5-10 miles,10 - 20
140,30009417,>60,3,0,10 - 15 miles,10 - 20
141,30009440,>60,3,non-work,Not Sure,non-work
142,30009551,>60,3,non-work,Not Sure,non-work
143,30009600,>60,3,0,<=5 miles,<=10
144,30009635,>60,5,>0.5,10 - 15 miles,>30
145,30009694,50 - 60,3,non-work,Not Sure,non-work
146,30009702,>60,4,non-work,Not Sure,non-work
147,30009770,30 - 40,3,0.5,>15 miles,20 - 30
148,30009837,40 - 50,4,non-work,Not Sure,non-work
149,30009856,>60,5,0.5,Not Sure,non-work
150,30009926,30 - 40,2,0,<=5 miles,10 - 20
151,30009961,50 - 60,3,non-work,Not Sure,non-work
152,30010059,>60,5,non-work,Not Sure,non-work
153,30010082,30 - 40,3,0,10 - 15 miles,10 - 20
154,30010091,40 - 50,3,1,>15 miles,<=10
155,30010128,50 - 60,4,1,>15 miles,>30
156,30010151,>60,2,non-work,Not Sure,non-work
157,30010305,<=30,4,non-work,Not Sure,non-work
158,30010424,>60,2,non-work,Not Sure,non-work
159,30010513,50 - 60,4,1,>15 miles,>30
160,30010649,50 - 60,1,non-work,Not Sure,non-work
161,30010665,<=30,3,1,>15 miles,20 - 30
162,30010689,<=30,3,1,<=5 miles,<=10
163,30010784,50 - 60,3,>0.5,>15 miles,>30
164,30010786,>60,2,non-work,Not Sure,non-work
165,30010850,30 - 40,5,1,>15 miles,20 - 30
166,30010866,50 - 60,2,1,10 - 15 miles,>30
167,30010883,>60,2,non-work,Not Sure,non-work
168,30010897,30 - 40,5,0.5,>15 miles,>30
169,30011141,>60,5,1,10 - 15 miles,10 - 20
170,30011328,30 - 40,3,>0.5,5-10 miles,20 - 30
171,30011422,50 - 60,4,0.5,10 - 15 miles,20 - 30
172,30011425,40 - 50,5,<0.5,>15 miles,>30
173,30011584,>60,5,0,<=5 miles,<=10
174,30011698,50 - 60,2,0,Not Sure,non-work
175,30011714,<=30,3,0,Not Sure,non-work
176,30011741,40 - 50,5,0,>15 miles,>30
177,30011780,40 - 50,3,non-work,Not Sure,non-work
178,30011809,30 - 40,5,1,10 - 15 miles,10 - 20
179,30011827,>60,3,non-work,Not Sure,non-work
180,30011829,>60,5,0.5,5-10 miles,10 - 20
181,30011855,40 - 50,5,>0.5,<=5 miles,>30
182,30011862,30 - 40,2,non-work,Not Sure,non-work
183,30011916,>60,1,non-work,Not Sure,non-work
184,30012035,<=30,5,<0.5,<=5 miles,<=10
185,30012068,>60,3,non-work,Not Sure,non-work
186,30012078,>60,2,non-work,Not Sure,non-work
187,30012127,>60,5,0,5-10 miles,10 - 20
188,30012181,>60,3,0,<=5 miles,10 - 20
189,30012223,<=30,3,1,>15 miles,>30
190,30012256,>60,5,non-work,Not Sure,non-work
191,30012285,40 - 50,5,1,5-10 miles,>30
192,30012338,>60,5,1,<=5 miles,<=10
193,30012356,>60,4,non-work,Not Sure,non-work
194,30012365,>60,2,non-work,Not Sure,non-work
195,30012385,50 - 60,4,1,10 - 15 miles,20 - 30
196,30012396,<=30,4,1,5-10 miles,20 - 30
197,30012493,>60,3,non-work,Not Sure,non-work
198,30012723,>60,3,0.5,10 - 15 miles,10 - 20
199,30012777,>60,4,non-work,Not Sure,non-work
200,30012863,30 - 40,5,0,Not Sure,non-work
201,30012971,>60,5,non-work,Not Sure,non-work
202,30013015,>60,2,non-work,Not Sure,non-work
203,30013022,>60,5,non-work,Not Sure,non-work
204,30013226,<=30,4,0.5,5-10 miles,10 - 20
205,30013246,>60,4,non-work,Not Sure,non-work
206,30013369,>60,4,non-work,Not Sure,non-work
207,30013491,>60,5,non-work,Not Sure,non-work
208,30013577,<=30,4,0.5,10 - 15 miles,10 - 20
209,30013656,>60,3,non-work,Not Sure,non-work
210,30013798,<=30,5,0.5,>15 miles,>30
211,30013861,>60,2,non-work,Not Sure,non-work
212,30013884,30 - 40,4,1,5-10 miles,>30
213,30013938,>60,3,non-work,Not Sure,non-work
214,30014090,>60,5,non-work,Not Sure,non-work
215,30014297,>60,2,non-work,Not Sure,non-work
216,30014349,30 - 40,3,>0.5,5-10 miles,10 - 20
217,30014376,50 - 60,3,0.5,5-10 miles,10 - 20
218,30014395,>60,4,0,Not Sure,non-work
219,30014478,>60,3,non-work,Not Sure,non-work
220,30014498,>60,4,0,<=5 miles,<=10
221,30014580,>60,5,non-work,Not Sure,non-work
222,30014598,40 - 50,3,<0.5,>15 miles,>30
223,30014643,50 - 60,3,0.5,<=5 miles,10 - 20
224,30014701,30 - 40,5,>0.5,10 - 15 miles,20 - 30
225,30014708,>60,3,non-work,Not Sure,non-work
226,30014711,>60,3,non-work,Not Sure,non-work
227,30014816,>60,2,non-work,Not Sure,non-work
228,30014907,>60,4,non-work,Not Sure,non-work
229,30014950,>60,3,non-work,Not Sure,non-work
230,30014964,>60,4,0,>15 miles,>30
231,30015012,40 - 50,5,1,<=5 miles,20 - 30
232,30015055,50 - 60,2,non-work,Not Sure,non-work
233,30015077,30 - 40,3,non-work,Not Sure,non-work
234,30015089,30 - 40,5,1,5-10 miles,>30
235,30015147,40 - 50,4,1,Not Sure,non-work
236,30015211,50 - 60,5,1,<=5 miles,20 - 30
237,30015268,<=30,5,0.5,10 - 15 miles,20 - 30
238,30015320,>60,3,0,<=5 miles,<=10
239,30015364,<=30,3,<0.5,5-10 miles,20 - 30
240,30015377,40 - 50,5,1,<=5 miles,<=10
241,30015416,50 - 60,3,0.5,5-10 miles,>30
242,30015421,<=30,5,<0.5,5-10 miles,<=10
243,30015453,>60,4,non-work,Not Sure,non-work
244,30015529,>60,4,0,>15 miles,20 - 30
245,30015598,<=30,4,<0.5,>15 miles,>30
246,30015722,50 - 60,4,>0.5,>15 miles,20 - 30
247,30015730,>60,4,0,>15 miles,>30
248,30015784,>60,2,non-work,Not Sure,non-work
249,30015979,50 - 60,5,1,<=5 miles,>30
250,30016017,<=30,5,<0.5,5-10 miles,10 - 20
251,30016085,40 - 50,3,1,5-10 miles,10 - 20
252,30016211,40 - 50,4,0,<=5 miles,<=10
253,30016245,>60,4,0,Not Sure,non-work
254,30016283,>60,5,non-work,Not Sure,non-work
255,30016310,30 - 40,3,1,<=5 miles,<=10
256,30016519,30 - 40,3,<0.5,<=5 miles,<=10
257,30016559,40 - 50,2,0.5,<=5 miles,20 - 30
258,30016634,50 - 60,3,1,5-10 miles,<=10
259,30016656,>60,5,non-work,Not Sure,non-work
260,30016755,30 - 40,5,1,Not Sure,non-work
261,30016778,40 - 50,3,0,<=5 miles,<=10
262,30016823,>60,3,non-work,Not Sure,non-work
263,30016827,>60,3,non-work,Not Sure,non-work
264,30016980,>60,2,non-work,Not Sure,non-work
265,30017018,50 - 60,5,0.5,>15 miles,<=10
266,30017081,>60,3,0.5,<=5 miles,<=10
267,30017093,>60,3,0.5,Not Sure,non-work
268,30017118,30 - 40,3,0,>15 miles,>30
269,30017130,>60,3,non-work,Not Sure,non-work
270,30017200,>60,4,>0.5,5-10 miles,<=10
271,30017202,>60,5,non-work,Not Sure,non-work
272,30017259,>60,2,0,<=5 miles,<=10
273,30017267,>60,4,non-work,Not Sure,non-work
274,30017318,<=30,5,0.5,<=5 miles,<=10
275,30017529,50 - 60,5,1,>15 miles,>30
276,30017903,>60,2,non-work,Not Sure,non-work
277,30017959,30 - 40,3,0,Not Sure,non-work
278,30017996,<=30,3,<0.5,10 - 15 miles,10 - 20
279,30018061,50 - 60,2,0.5,5-10 miles,20 - 30
280,30018064,>60,3,non-work,Not Sure,non-work
281,30018104,50 - 60,5,non-work,Not Sure,non-work
282,30018177,>60,1,non-work,Not Sure,non-work
283,30018423,>60,3,non-work,Not Sure,non-work
284,30018437,50 - 60,2,1,<=5 miles,10 - 20
285,30018464,<=30,4,<0.5,>15 miles,20 - 30
286,30018466,50 - 60,5,0.5,>15 miles,>30
287,30018578,>60,3,non-work,Not Sure,non-work
288,30018627,40 - 50,2,0,>15 miles,20 - 30
289,30018675,>60,2,non-work,Not Sure,non-work
290,30018742,<=30,4,1,<=5 miles,<=10
291,30018744,>60,4,0.5,>15 miles,>30
292,30018784,40 - 50,3,non-work,Not Sure,non-work
293,30018936,30 - 40,4,0.5,10 - 15 miles,20 - 30
294,30019044,>60,5,non-work,Not Sure,non-work
295,30019052,<=30,5,<0.5,<=5 miles,<=10
296,30019076,>60,2,non-work,Not Sure,non-work
297,30019129,>60,4,0,<=5 miles,<=10
298,30019219,30 - 40,4,1,<=5 miles,<=10
299,30019223,>60,3,non-work,Not Sure,non-work
300,30019237,<=30,5,>0.5,>15 miles,20 - 30
301,30019312,40 - 50,5,non-work,Not Sure,non-work
302,30019477,50 - 60,5,non-work,Not Sure,non-work
303,30019478,>60,5,non-work,Not Sure,non-work
304,30019500,>60,4,non-work,Not Sure,non-work
305,30019595,<=30,4,1,10 - 15 miles,10 - 20
306,30019911,50 - 60,2,0.5,5-10 miles,<=10
307,30020018,30 - 40,5,<0.5,>15 miles,<=10
308,30020118,30 - 40,5,>0.5,>15 miles,>30
309,30020208,<=30,5,<0.5,10 - 15 miles,>30
310,30020225,50 - 60,2,1,>15 miles,>30
311,30020265,30 - 40,4,1,10 - 15 miles,20 - 30
312,30020274,>60,2,0.5,5-10 miles,<=10
313,30020301,>60,4,non-work,Not Sure,non-work
314,30020306,30 - 40,5,1,Not Sure,non-work
315,30020362,>60,5,non-work,Not Sure,non-work
316,30020471,>60,3,0.5,>15 miles,>30
317,30020491,50 - 60,5,0.5,>15 miles,>30
318,30020548,40 - 50,2,<0.5,5-10 miles,10 - 20
319,30020551,>60,2,non-work,Not Sure,non-work
320,30020601,>60,3,non-work,Not Sure,non-work
321,30020701,>60,3,0,10 - 15 miles,10 - 20
322,30020746,<=30,2,0,>15 miles,>30
323,30020837,<=30,5,1,Not Sure,non-work
324,30020914,50 - 60,1,1,<=5 miles,<=10
325,30020921,<=30,5,non-work,Not Sure,non-work
326,30020948,<=30,3,non-work,Not Sure,non-work
327,30021052,50 - 60,3,>0.5,10 - 15 miles,10 - 20
328,30021095,50 - 60,3,non-work,Not Sure,non-work
329,30021117,30 - 40,3,<0.5,5-10 miles,10 - 20
330,30021194,50 - 60,4,0.5,5-10 miles,10 - 20
331,30021241,40 - 50,5,0.5,>15 miles,>30
332,30021249,>60,2,0.5,>15 miles,20 - 30
333,30021269,>60,3,0,Not Sure,non-work
334,30021351,>60,5,0.5,10 - 15 miles,20 - 30
335,30021379,<=30,3,<0.5,>15 miles,10 - 20
336,30021471,50 - 60,3,1,>15 miles,20 - 30
337,30021547,>60,3,0,<=5 miles,<=10
338,30021628,30 - 40,5,0.5,5-10 miles,10 - 20
339,30021750,>60,2,non-work,Not Sure,non-work
340,30021868,50 - 60,4,1,<=5 miles,10 - 20
341,30021933,50 - 60,3,1,<=5 miles,<=10
342,30021943,40 - 50,5,<0.5,5-10 miles,10 - 20
343,30021979,40 - 50,3,<0.5,>15 miles,>30
344,30021983,>60,5,0.5,10 - 15 miles,10 - 20
345,30022121,>60,5,non-work,Not Sure,non-work
346,30022146,>60,3,0,Not Sure,non-work
347,30022160,40 - 50,4,<0.5,Not Sure,non-work
348,30022206,30 - 40,3,>0.5,10 - 15 miles,10 - 20
349,30022251,40 - 50,4,1,<=5 miles,20 - 30
350,30022349,40 - 50,5,0.5,>15 miles,>30
351,30022353,40 - 50,3,<0.5,>15 miles,>30
352,30022410,30 - 40,5,<0.5,<=5 miles,20 - 30
353,30022421,>60,2,0,<=5 miles,<=10
354,30022467,>60,2,non-work,Not Sure,non-work
355,30022509,50 - 60,5,1,>15 miles,>30
356,30022610,50 - 60,3,0.5,>15 miles,20 - 30
357,30022638,>60,4,non-work,Not Sure,non-work
358,30022665,50 - 60,4,<0.5,>15 miles,>30
359,30022751,>60,5,0.5,<=5 miles,10 - 20
360,30022839,<=30,3,non-work,Not Sure,non-work
361,30022848,40 - 50,3,<0.5,5-10 miles,>30
362,30022892,>60,2,non-work,Not Sure,non-work
363,30023025,>60,3,non-work,Not Sure,non-work
364,30023058,30 - 40,4,1,>15 miles,>30
365,30023101,<=30,2,<0.5,5-10 miles,>30
366,30023105,50 - 60,3,0.5,Not Sure,non-work
367,30023139,<=30,4,<0.5,5-10 miles,<=10
368,30023163,40 - 50,5,1,>15 miles,>30
369,30023165,30 - 40,5,0.5,<=5 miles,10 - 20
370,30023193,>60,2,non-work,Not Sure,non-work
371,30023253,>60,2,non-work,Not Sure,non-work
372,30023294,>60,5,non-work,Not Sure,non-work
373,30023489,30 - 40,4,1,>15 miles,20 - 30
374,30023530,<=30,4,0.5,5-10 miles,20 - 30
375,30023658,40 - 50,5,1,<=5 miles,10 - 20
376,30023860,<=30,5,0.5,>15 miles,>30
377,30023925,>60,5,0,Not Sure,non-work
378,30023988,30 - 40,5,<0.5,<=5 miles,10 - 20
379,30024006,>60,5,non-work,Not Sure,non-work
380,30024030,>60,2,non-work,Not Sure,non-work
381,30024071,>60,2,non-work,Not Sure,non-work
382,30024134,<=30,5,1,<=5 miles,<=10
383,30024155,>60,4,0.5,10 - 15 miles,10 - 20
384,30024181,>60,4,non-work,Not Sure,non-work
385,30024187,<=30,5,<0.5,5-10 miles,10 - 20
386,30024387,>60,5,non-work,Not Sure,non-work
387,30024426,<=30,4,1,<=5 miles,<=10
388,30024467,>60,3,non-work,Not Sure,non-work
389,30024583,<=30,5,non-work,Not Sure,non-work
390,30024595,>60,5,non-work,Not Sure,non-work
391,30024666,30 - 40,5,<0.5,<=5 miles,<=10
392,30024714,30 - 40,5,0.5,>15 miles,>30
393,30024786,40 - 50,1,non-work,Not Sure,non-work
394,30024865,50 - 60,3,0.5,<=5 miles,<=10
395,30024957,50 - 60,3,1,10 - 15 miles,10 - 20
396,30024981,30 - 40,4,non-work,Not Sure,non-work
397,30025087,>60,5,non-work,Not Sure,non-work
398,30025088,30 - 40,4,1,10 - 15 miles,>30
399,30025098,<=30,4,>0.5,>15 miles,>30
400,30025140,>60,3,0.5,10 - 15 miles,20 - 30
401,30025202,>60,5,0.5,10 - 15 miles,10 - 20
402,30025237,50 - 60,3,non-work,Not Sure,non-work
403,30025278,>60,4,0,<=5 miles,10 - 20
404,30025335,40 - 50,5,1,<=5 miles,10 - 20
405,30025342,>60,5,0.5,<=5 miles,10 - 20
406,30025343,>60,4,non-work,Not Sure,non-work
407,30025408,>60,4,1,10 - 15 miles,10 - 20
408,30025431,40 - 50,5,<0.5,10 - 15 miles,20 - 30
409,30025495,>60,3,0.5,Not Sure,non-work
410,30025610,50 - 60,3,1,>15 miles,>30
411,30025625,>60,5,0,<=5 miles,10 - 20
412,30025684,<=30,3,1,<=5 miles,<=10
413,30025702,50 - 60,3,0,<=5 miles,<=10
414,30025807,>60,3,non-work,Not Sure,non-work
415,30025838,>60,4,non-work,Not Sure,non-work
416,30025885,40 - 50,1,non-work,Not Sure,non-work
417,30025919,>60,3,non-work,Not Sure,non-work
418,30025934,40 - 50,3,1,>15 miles,>30
419,30026075,>60,4,non-work,Not Sure,non-work
420,30026077,>60,3,0.5,5-10 miles,10 - 20
421,30026294,50 - 60,5,non-work,Not Sure,non-work
422,30026313,50 - 60,3,1,10 - 15 miles,>30
423,30026385,>60,3,non-work,Not Sure,non-work
424,30026437,40 - 50,4,0.5,>15 miles,>30
425,30026444,>60,3,0.5,<=5 miles,<=10
426,30026457,30 - 40,4,<0.5,Not Sure,non-work
427,30026565,<=30,5,<0.5,10 - 15 miles,10 - 20
428,30026645,40 - 50,5,non-work,Not Sure,non-work
429,30026722,30 - 40,3,<0.5,>15 miles,10 - 20
430,30026788,50 - 60,5,>0.5,<=5 miles,<=10
431,30026889,>60,2,non-work,Not Sure,non-work
432,30027020,>60,2,non-work,Not Sure,non-work
433,30027153,30 - 40,3,non-work,Not Sure,non-work
434,30027243,40 - 50,3,1,>15 miles,>30
435,30027245,>60,3,1,<=5 miles,<=10
436,30027347,>60,5,0,Not Sure,non-work
437,30027354,50 - 60,3,1,<=5 miles,10 - 20
438,30027356,>60,3,non-work,Not Sure,non-work
439,30027470,>60,5,non-work,Not Sure,non-work
440,30027512,>60,5,non-work,Not Sure,non-work
441,30027636,<=30,4,1,<=5 miles,10 - 20
442,30027712,<=30,4,0.5,5-10 miles,>30
443,30027855,>60,3,1,5-10 miles,10 - 20
444,30027856,>60,5,non-work,Not Sure,non-work
445,30027864,40 - 50,4,1,>15 miles,>30
446,30027906,<=30,5,1,<=5 miles,10 - 20
447,30027917,>60,5,0,Not Sure,non-work
448,30027951,30 - 40,5,<0.5,5-10 miles,20 - 30
449,30028059,>60,5,1,<=5 miles,10 - 20
450,30028213,30 - 40,5,1,<=5 miles,<=10
451,30028229,>60,5,0.5,<=5 miles,<=10
452,30028277,<=30,4,1,<=5 miles,<=10
453,30028386,<=30,3,0.5,<=5 miles,<=10
454,30028403,<=30,3,<0.5,>15 miles,>30
455,30028415,>60,3,non-work,Not Sure,non-work
456,30028434,50 - 60,3,1,>15 miles,>30
457,30028523,<=30,4,<0.5,<=5 miles,10 - 20
458,30028640,<=30,2,<0.5,>15 miles,20 - 30
459,30028770,>60,5,non-work,Not Sure,non-work
460,30028893,30 - 40,5,0.5,>15 miles,>30
461,30028929,>60,5,non-work,Not Sure,non-work
462,30028960,>60,3,0.5,<=5 miles,<=10
463,30029013,>60,3,0,>15 miles,<=10
464,30029038,>60,2,non-work,Not Sure,non-work
465,30029263,30 - 40,5,1,<=5 miles,<=10
466,30029264,50 - 60,5,0.5,5-10 miles,10 - 20
467,30029400,>60,2,non-work,Not Sure,non-work
468,30029459,<=30,5,<0.5,5-10 miles,10 - 20
469,30029526,50 - 60,5,non-work,Not Sure,non-work
470,30029595,<=30,5,0.5,10 - 15 miles,20 - 30
471,30029754,30 - 40,5,>0.5,5-10 miles,10 - 20
472,30029782,>60,3,non-work,Not Sure,non-work
473,30029853,40 - 50,4,0,>15 miles,>30
474,30029868,<=30,3,<0.5,<=5 miles,10 - 20
475,30029948,>60,2,non-work,Not Sure,non-work
476,30029972,>60,2,non-work,Not Sure,non-work
477,30030032,50 - 60,5,1,5-10 miles,10 - 20
478,30030036,50 - 60,3,non-work,Not Sure,non-work
479,30030118,<=30,3,<0.5,>15 miles,20 - 30
480,30030363,>60,3,1,<=5 miles,<=10
481,30030380,>60,2,<0.5,<=5 miles,<=10
482,30030564,>60,5,non-work,Not Sure,non-work
483,30030579,>60,2,non-work,Not Sure,non-work
484,30030660,>60,5,0.5,>15 miles,20 - 30
485,30030683,50 - 60,5,<0.5,5-10 miles,10 - 20
486,30030779,>60,5,non-work,Not Sure,non-work
487,30030807,50 - 60,2,0.5,>15 miles,>30
488,30030811,>60,4,non-work,Not Sure,non-work
489,30030813,40 - 50,5,<0.5,>15 miles,>30
490,30030822,30 - 40,4,0,>15 miles,20 - 30
491,30030907,<=30,3,0.5,<=5 miles,<=10
492,30030968,30 - 40,5,0.5,<=5 miles,10 - 20
493,30030971,40 - 50,3,non-work,Not Sure,non-work
494,30031000,>60,4,non-work,Not Sure,non-work
495,30031040,40 - 50,3,0.5,5-10 miles,10 - 20
496,30031120,<=30,5,<0.5,>15 miles,>30
497,30031147,>60,5,non-work,Not Sure,non-work
498,30031217,40 - 50,3,non-work,Not Sure,non-work
499,30031243,50 - 60,5,1,10 - 15 miles,10 - 20
500,30031279,30 - 40,4,1,>15 miles,>30
501,30031346,>60,5,0,>15 miles,20 - 30
502,30031368,<=30,4,0,5-10 miles,10 - 20
503,30031387,30 - 40,5,non-work,Not Sure,non-work
504,30031516,40 - 50,3,1,>15 miles,>30
505,30031519,>60,4,non-work,Not Sure,non-work
506,30031669,30 - 40,5,<0.5,10 - 15 miles,10 - 20
507,30031672,40 - 50,3,>0.5,5-10 miles,10 - 20
508,30031680,>60,2,non-work,Not Sure,non-work
509,30031698,50 - 60,5,0.5,5-10 miles,<=10
510,30031741,30 - 40,4,0.5,5-10 miles,20 - 30
511,30031770,50 - 60,3,1,>15 miles,>30
512,30031786,<=30,5,1,5-10 miles,20 - 30
