,HOUSEID,HEALTH,avg_trips,avg_trips_binned,one_job,flexible_work
102,30007193,1,4.5,4 - 5,0.5,0.5
103,30007260,3,3.0,2 - 3,1,0
104,30007345,2,5.0,4 - 5,1,1
105,30007347,4,6.0,>5,1,1
106,30007398,2,3.0,2 - 3,non-work,non-work
107,30007462,3,5.0,4 - 5,1,0
108,30007520,3,6.0,>5,non-work,non-work
109,30007528,4,3.0,2 - 3,non-work,non-work
110,30007531,1,3.5,3 - 4,1,0.5
111,30007556,2,3.6666666666666665,3 - 4,0.5,<0.5
112,30007603,1,2.0,<=2,1,1
113,30007614,2,3.0,2 - 3,0.5,0
114,30007623,2,11.0,>5,0.5,0
115,30007674,2,7.0,>5,1,1
116,30007748,1,2.0,<=2,1,0.5
117,30007757,3,2.0,<=2,0,0
118,30007907,5,9.0,>5,non-work,non-work
119,30007978,1,10.0,>5,1,0.5
120,30008157,2,3.0,2 - 3,0,0
121,30008187,1,5.5,>5,0.5,0.5
122,30008251,2,0.5,<=2,non-work,non-work
123,30008258,3,0.0,<=2,non-work,non-work
124,30008324,2,1.6666666666666667,<=2,>0.5,<0.5
125,30008397,2,0.0,<=2,1,0
126,30008472,4,5.0,4 - 5,non-work,non-work
127,30008483,1,3.0,2 - 3,0,0
128,30008546,2,6.666666666666667,>5,1,<0.5
129,30008574,4,1.0,<=2,non-work,non-work
130,30009004,1,4.0,3 - 4,1,0.5
131,30009092,2,2.0,<=2,0,1
132,30009116,3,2.5,2 - 3,<0.5,0
133,30009193,4,4.0,3 - 4,0.5,0
134,30009226,2,4.0,3 - 4,0.5,0
135,30009251,4,1.3333333333333333,<=2,non-work,non-work
136,30009261,4,2.5,2 - 3,non-work,non-work
137,30009323,2,6.333333333333333,>5,0,<0.5
138,30009362,1,3.5,3 - 4,<0.5,0
139,30009389,3,3.5,3 - 4,0,0.5
140,30009417,4,1.0,<=2,0.5,0.5
141,30009440,3,2.0,<=2,non-work,non-work
142,30009551,3,6.0,>5,non-work,non-work
143,30009600,1,4.0,3 - 4,0.5,0
144,30009635,4,0.0,<=2,>0.5,<0.5
145,30009694,5,4.0,3 - 4,non-work,non-work
146,30009702,4,3.0,2 - 3,non-work,non-work
147,30009770,2,2.75,2 - 3,>0.5,<0.5
148,30009837,2,2.0,<=2,non-work,non-work
149,30009856,5,4.0,3 - 4,0.5,0
150,30009926,2,1.0,<=2,0.5,0.5
151,30009961,2,9.0,>5,non-work,non-work
152,30010059,1,2.5,2 - 3,non-work,non-work
153,30010082,2,2.5,2 - 3,0.5,0.5
154,30010091,1,5.0,4 - 5,1,0.5
155,30010128,2,2.3333333333333335,2 - 3,1,<0.5
156,30010151,1,0.0,<=2,non-work,non-work
157,30010305,3,2.5,2 - 3,non-work,non-work
158,30010424,3,3.0,2 - 3,non-work,non-work
159,30010513,3,2.0,<=2,1,0
160,30010649,4,0.0,<=2,non-work,non-work
161,30010665,2,5.5,>5,1,0.5
162,30010689,3,7.0,>5,1,1
163,30010784,4,3.0,2 - 3,>0.5,<0.5
164,30010786,4,4.0,3 - 4,non-work,non-work
165,30010850,2,6.0,>5,0.5,0
166,30010866,2,0.0,<=2,1,0.5
167,30010883,2,4.0,3 - 4,non-work,non-work
168,30010897,1,7.75,>5,0.5,0
169,30011141,3,3.0,2 - 3,1,0
170,30011328,3,2.0,<=2,1,<0.5
171,30011422,1,8.0,>5,0.5,0
172,30011425,2,7.0,>5,<0.5,<0.5
173,30011584,3,0.0,<=2,0.5,0.5
174,30011698,3,4.0,3 - 4,1,0
175,30011714,4,2.0,<=2,<0.5,<0.5
176,30011741,5,3.0,2 - 3,<0.5,<0.5
177,30011780,3,2.0,<=2,non-work,non-work
178,30011809,2,2.0,<=2,0.5,0
179,30011827,2,1.0,<=2,non-work,non-work
180,30011829,2,2.0,<=2,0.5,0.5
181,30011855,2,5.0,4 - 5,>0.5,0
182,30011862,4,1.0,<=2,non-work,non-work
183,30011916,3,3.0,2 - 3,non-work,non-work
184,30012035,1,5.0,4 - 5,<0.5,<0.5
185,30012068,5,2.0,<=2,non-work,non-work
186,30012078,3,5.0,4 - 5,non-work,non-work
187,30012127,1,2.0,<=2,1,0
188,30012181,3,8.0,>5,0,0
189,30012223,1,0.0,<=2,1,1
190,30012256,2,3.5,3 - 4,non-work,non-work
191,30012285,2,5.0,4 - 5,1,1
192,30012338,3,7.0,>5,1,0
193,30012356,5,0.0,<=2,non-work,non-work
194,30012365,4,4.0,3 - 4,non-work,non-work
195,30012385,3,4.0,3 - 4,1,1
196,30012396,1,6.0,>5,1,0.5
197,30012493,4,4.0,3 - 4,non-work,non-work
198,30012723,4,4.5,4 - 5,0.5,0
199,30012777,3,2.5,2 - 3,non-work,non-work
200,30012863,2,3.6666666666666665,3 - 4,0,<0.5
201,30012971,3,5.0,4 - 5,non-work,non-work
202,30013015,3,3.5,3 - 4,non-work,non-work
203,30013022,2,0.0,<=2,non-work,non-work
204,30013226,2,5.75,>5,<0.5,0
205,30013246,2,4.0,3 - 4,non-work,non-work
206,30013369,3,6.0,>5,non-work,non-work
207,30013491,2,4.0,3 - 4,non-work,non-work
208,30013577,3,0.75,<=2,>0.5,<0.5
209,30013656,3,3.0,2 - 3,non-work,non-work
210,30013798,2,2.0,<=2,0.5,0
211,30013861,3,3.0,2 - 3,non-work,non-work
212,30013884,3,9.0,>5,1,0
213,30013938,2,2.0,<=2,non-work,non-work
214,30014090,5,0.0,<=2,non-work,non-work
215,30014297,2,7.0,>5,non-work,non-work
216,30014349,3,2.3333333333333335,2 - 3,>0.5,<0.5
217,30014376,4,0.0,<=2,0.5,0
218,30014395,1,3.5,3 - 4,0.5,0
219,30014478,3,5.0,4 - 5,non-work,non-work
220,30014498,3,5.0,4 - 5,0.5,0.5
221,30014580,3,4.0,3 - 4,non-work,non-work
222,30014598,2,2.3333333333333335,2 - 3,<0.5,0
223,30014643,3,1.5,<=2,0.5,0.5
224,30014701,2,4.5,4 - 5,>0.5,<0.5
225,30014708,3,5.0,4 - 5,non-work,non-work
226,30014711,2,3.0,2 - 3,non-work,non-work
227,30014816,3,0.0,<=2,non-work,non-work
228,30014907,3,2.0,<=2,non-work,non-work
229,30014950,3,5.0,4 - 5,non-work,non-work
230,30014964,3,3.0,2 - 3,1,1
231,30015012,4,7.0,>5,1,0
232,30015055,4,3.0,2 - 3,non-work,non-work
233,30015077,5,5.0,4 - 5,non-work,non-work
234,30015089,3,2.0,<=2,1,0.5
235,30015147,1,4.0,3 - 4,1,0
236,30015211,1,5.0,4 - 5,1,1
237,30015268,3,7.0,>5,0.5,0.5
238,30015320,3,6.5,>5,0.5,0
239,30015364,1,1.3333333333333333,<=2,0,0
240,30015377,2,2.0,<=2,1,0
241,30015416,4,1.0,<=2,0.5,0.5
242,30015421,2,6.666666666666667,>5,<0.5,<0.5
243,30015453,4,5.0,4 - 5,non-work,non-work
244,30015529,2,2.0,<=2,0.5,0.5
245,30015598,2,1.25,<=2,<0.5,<0.5
246,30015722,3,4.333333333333333,4 - 5,>0.5,<0.5
247,30015730,3,4.0,3 - 4,0.5,0
248,30015784,2,4.0,3 - 4,non-work,non-work
249,30015979,4,6.5,>5,1,0.5
250,30016017,2,7.333333333333333,>5,<0.5,<0.5
251,30016085,2,6.0,>5,1,1
252,30016211,3,2.5,2 - 3,0.5,0
253,30016245,3,4.5,4 - 5,0.5,0
254,30016283,5,2.5,2 - 3,non-work,non-work
255,30016310,4,7.0,>5,1,0.5
256,30016519,2,0.5,<=2,<0.5,<0.5
257,30016559,3,9.0,>5,0.5,0
258,30016634,2,4.5,4 - 5,1,0
259,30016656,5,5.0,4 - 5,non-work,non-work
260,30016755,1,2.0,<=2,0.5,0
261,30016778,3,3.3333333333333335,3 - 4,<0.5,<0.5
262,30016823,3,9.0,>5,non-work,non-work
263,30016827,4,6.0,>5,non-work,non-work
264,30016980,3,7.0,>5,non-work,non-work
265,30017018,2,3.0,2 - 3,1,0.5
266,30017081,4,1.5,<=2,0.5,0.5
267,30017093,4,4.5,4 - 5,0.5,0
268,30017118,3,6.5,>5,0,0.5
269,30017130,2,4.0,3 - 4,non-work,non-work
270,30017200,3,4.333333333333333,4 - 5,>0.5,<0.5
271,30017202,4,2.5,2 - 3,non-work,non-work
272,30017259,3,3.0,2 - 3,1,0
273,30017267,3,1.0,<=2,non-work,non-work
274,30017318,2,2.0,<=2,0,0.5
275,30017529,3,2.3333333333333335,2 - 3,>0.5,<0.5
276,30017903,3,0.0,<=2,non-work,non-work
277,30017959,1,10.0,>5,1,0
278,30017996,2,2.0,<=2,<0.5,<0.5
279,30018061,2,5.0,4 - 5,0,0.5
280,30018064,4,1.0,<=2,non-work,non-work
281,30018104,2,8.0,>5,non-work,non-work
282,30018177,1,0.0,<=2,non-work,non-work
283,30018423,1,9.0,>5,non-work,non-work
284,30018437,1,10.0,>5,1,0
285,30018464,2,5.666666666666667,>5,<0.5,0
286,30018466,3,1.5,<=2,0,0.5
287,30018578,5,0.0,<=2,non-work,non-work
288,30018627,2,0.0,<=2,0,<0.5
289,30018675,3,5.0,4 - 5,non-work,non-work
290,30018742,1,5.0,4 - 5,1,0
291,30018744,3,5.0,4 - 5,0.5,0.5
292,30018784,4,7.0,>5,non-work,non-work
293,30018936,2,5.25,>5,0.5,0
294,30019044,2,1.0,<=2,non-work,non-work
295,30019052,1,7.0,>5,<0.5,0
296,30019076,3,5.0,4 - 5,non-work,non-work
297,30019129,1,4.0,3 - 4,1,0
298,30019219,1,8.0,>5,1,0
299,30019223,2,0.0,<=2,non-work,non-work
300,30019237,1,5.333333333333333,>5,<0.5,<0.5
301,30019312,2,4.333333333333333,4 - 5,non-work,non-work
302,30019477,2,9.0,>5,non-work,non-work
303,30019478,2,3.0,2 - 3,non-work,non-work
304,30019500,2,5.0,4 - 5,non-work,non-work
305,30019595,1,6.5,>5,0.5,0.5
306,30019911,2,1.0,<=2,0.5,0
307,30020018,2,4.0,3 - 4,<0.5,<0.5
308,30020118,3,1.3333333333333333,<=2,0,<0.5
309,30020208,4,2.0,<=2,<0.5,<0.5
310,30020225,3,0.0,<=2,1,0
311,30020265,1,4.0,3 - 4,1,0
312,30020274,2,6.0,>5,0.5,0
313,30020301,3,5.0,4 - 5,non-work,non-work
314,30020306,1,9.0,>5,1,0
315,30020362,2,7.5,>5,non-work,non-work
316,30020471,3,5.0,4 - 5,0.5,0
317,30020491,2,1.5,<=2,1,0
318,30020548,3,1.3333333333333333,<=2,>0.5,<0.5
319,30020551,2,6.0,>5,non-work,non-work
320,30020601,1,2.0,<=2,non-work,non-work
321,30020701,4,1.0,<=2,0.5,0.5
322,30020746,3,3.3333333333333335,3 - 4,0,0
323,30020837,2,5.0,4 - 5,1,1
324,30020914,3,3.0,2 - 3,1,1
325,30020921,3,2.0,<=2,non-work,non-work
326,30020948,3,2.0,<=2,non-work,non-work
327,30021052,3,4.333333333333333,4 - 5,<0.5,<0.5
328,30021095,1,0.0,<=2,non-work,non-work
329,30021117,2,0.8,<=2,>0.5,<0.5
330,30021194,4,2.5,2 - 3,0.5,0.5
331,30021241,2,4.0,3 - 4,0.5,0.5
332,30021249,3,8.0,>5,0.5,0.5
333,30021269,3,2.0,<=2,1,0
334,30021351,4,2.5,2 - 3,0.5,0.5
335,30021379,3,1.2,<=2,<0.5,<0.5
336,30021471,1,3.0,2 - 3,1,0
337,30021547,3,4.5,4 - 5,0.5,0.5
338,30021628,1,5.0,4 - 5,0,0.5
339,30021750,3,5.0,4 - 5,non-work,non-work
340,30021868,2,6.0,>5,1,0
341,30021933,3,0.0,<=2,1,1
342,30021943,2,6.333333333333333,>5,>0.5,<0.5
343,30021979,2,4.333333333333333,4 - 5,1,<0.5
344,30021983,3,5.0,4 - 5,0.5,0
345,30022121,2,16.0,>5,non-work,non-work
346,30022146,2,6.0,>5,1,0
347,30022160,1,3.3333333333333335,3 - 4,<0.5,0
348,30022206,2,3.3333333333333335,3 - 4,>0.5,<0.5
349,30022251,1,7.0,>5,1,0
350,30022349,3,3.0,2 - 3,<0.5,0
351,30022353,4,5.333333333333333,>5,<0.5,0
352,30022410,1,4.0,3 - 4,>0.5,0
353,30022421,3,8.0,>5,1,0
354,30022467,3,4.0,3 - 4,non-work,non-work
355,30022509,2,2.5,2 - 3,1,0.5
356,30022610,1,5.0,4 - 5,1,0
357,30022638,3,8.0,>5,non-work,non-work
358,30022665,3,4.0,3 - 4,1,<0.5
359,30022751,2,6.0,>5,0.5,0
360,30022839,2,9.0,>5,non-work,non-work
361,30022848,2,5.0,4 - 5,<0.5,<0.5
362,30022892,3,5.0,4 - 5,non-work,non-work
363,30023025,2,5.0,4 - 5,non-work,non-work
364,30023058,1,6.0,>5,1,0
365,30023101,3,2.0,<=2,<0.5,<0.5
366,30023105,2,4.5,4 - 5,0.5,0
367,30023139,1,3.0,2 - 3,<0.5,<0.5
368,30023163,3,4.0,3 - 4,1,0.5
369,30023165,3,2.5,2 - 3,1,0.5
370,30023193,2,3.0,2 - 3,non-work,non-work
371,30023253,3,3.0,2 - 3,non-work,non-work
372,30023294,4,3.0,2 - 3,non-work,non-work
373,30023489,1,1.0,<=2,1,0
374,30023530,3,6.0,>5,0.5,0
375,30023658,2,10.0,>5,1,0.5
376,30023860,3,1.25,<=2,0.5,<0.5
377,30023925,3,4.0,3 - 4,0.5,0
378,30023988,4,2.0,<=2,<0.5,<0.5
379,30024006,2,6.0,>5,non-work,non-work
380,30024030,1,8.0,>5,non-work,non-work
381,30024071,3,2.0,<=2,non-work,non-work
382,30024134,2,3.0,2 - 3,1,0
383,30024155,1,5.5,>5,1,0
384,30024181,1,12.0,>5,non-work,non-work
385,30024187,3,3.0,2 - 3,<0.5,0
386,30024387,3,0.0,<=2,non-work,non-work
387,30024426,2,2.0,<=2,1,0
388,30024467,3,0.0,<=2,non-work,non-work
389,30024583,2,4.0,3 - 4,non-work,non-work
390,30024595,2,2.0,<=2,non-work,non-work
391,30024666,3,7.333333333333333,>5,<0.5,0
392,30024714,3,3.5,3 - 4,>0.5,<0.5
393,30024786,3,11.0,>5,non-work,non-work
394,30024865,2,2.5,2 - 3,0.5,0.5
395,30024957,1,2.0,<=2,1,1
396,30024981,2,6.0,>5,non-work,non-work
397,30025087,4,2.0,<=2,non-work,non-work
398,30025088,2,5.5,>5,0.5,0.5
399,30025098,2,1.3333333333333333,<=2,>0.5,<0.5
400,30025140,2,2.5,2 - 3,1,0.5
401,30025202,1,2.0,<=2,1,0
402,30025237,3,4.0,3 - 4,non-work,non-work
403,30025278,2,7.0,>5,1,0
404,30025335,1,2.0,<=2,1,1
405,30025342,1,2.0,<=2,0.5,0.5
406,30025343,2,3.0,2 - 3,non-work,non-work
407,30025408,2,5.0,4 - 5,1,1
408,30025431,2,2.0,<=2,<0.5,<0.5
409,30025495,3,4.0,3 - 4,0.5,0
410,30025610,3,3.0,2 - 3,1,0
411,30025625,3,2.5,2 - 3,0.5,0.5
412,30025684,1,5.0,4 - 5,1,1
413,30025702,3,10.0,>5,0.5,0.5
414,30025807,2,4.0,3 - 4,non-work,non-work
415,30025838,3,3.0,2 - 3,non-work,non-work
416,30025885,3,5.0,4 - 5,non-work,non-work
417,30025919,2,5.5,>5,non-work,non-work
418,30025934,3,1.5,<=2,1,0.5
419,30026075,4,2.0,<=2,non-work,non-work
420,30026077,3,8.0,>5,0.5,0.5
421,30026294,2,8.0,>5,non-work,non-work
422,30026313,3,2.0,<=2,1,1
423,30026385,4,1.6666666666666667,<=2,non-work,non-work
424,30026437,2,3.0,2 - 3,0.5,0
425,30026444,4,4.0,3 - 4,0.5,0.5
426,30026457,3,7.166666666666667,>5,<0.5,0
427,30026565,2,2.0,<=2,<0.5,<0.5
428,30026645,3,3.0,2 - 3,non-work,non-work
429,30026722,3,5.0,4 - 5,<0.5,<0.5
430,30026788,2,2.3333333333333335,2 - 3,>0.5,<0.5
431,30026889,3,3.0,2 - 3,non-work,non-work
432,30027020,2,4.0,3 - 4,non-work,non-work
433,30027153,3,0.6666666666666666,<=2,non-work,non-work
434,30027243,3,3.5,3 - 4,0.5,0.5
435,30027245,3,11.0,>5,1,0
436,30027347,4,7.0,>5,0.5,non-work
437,30027354,2,3.0,2 - 3,1,0.5
438,30027356,3,7.0,>5,non-work,non-work
439,30027470,4,3.5,3 - 4,non-work,non-work
440,30027512,4,0.0,<=2,non-work,non-work
441,30027636,1,3.0,2 - 3,1,0.5
442,30027712,3,5.0,4 - 5,1,0.5
443,30027855,2,5.5,>5,1,0.5
444,30027856,1,15.0,>5,non-work,non-work
445,30027864,2,8.0,>5,1,0
446,30027906,2,6.0,>5,1,1
447,30027917,4,0.0,<=2,0.5,0
448,30027951,3,3.0,2 - 3,<0.5,<0.5
449,30028059,2,3.0,2 - 3,1,0
450,30028213,2,7.5,>5,0,0
451,30028229,2,1.0,<=2,0.5,0
452,30028277,2,2.0,<=2,1,1
453,30028386,1,2.5,2 - 3,0,0.5
454,30028403,3,2.0,<=2,<0.5,<0.5
455,30028415,3,2.5,2 - 3,non-work,non-work
456,30028434,2,3.5,3 - 4,1,0.5
457,30028523,2,6.0,>5,<0.5,0
458,30028640,2,5.0,4 - 5,<0.5,<0.5
459,30028770,1,9.0,>5,non-work,non-work
460,30028893,3,8.5,>5,0.5,0.5
461,30028929,4,3.0,2 - 3,non-work,non-work
462,30028960,4,6.0,>5,1,0
463,30029013,3,2.0,<=2,1,0
464,30029038,1,6.0,>5,non-work,non-work
465,30029263,3,3.0,2 - 3,1,0
466,30029264,2,3.0,2 - 3,0,0
467,30029400,3,5.0,4 - 5,non-work,non-work
468,30029459,1,2.6666666666666665,2 - 3,<0.5,<0.5
469,30029526,1,4.0,3 - 4,non-work,non-work
470,30029595,2,4.333333333333333,4 - 5,0.5,<0.5
471,30029754,2,0.6666666666666666,<=2,1,<0.5
472,30029782,4,5.5,>5,non-work,non-work
473,30029853,3,4.666666666666667,4 - 5,<0.5,0
474,30029868,2,4.8,4 - 5,<0.5,<0.5
475,30029948,2,3.0,2 - 3,non-work,non-work
476,30029972,3,5.0,4 - 5,non-work,non-work
477,30030032,3,4.0,3 - 4,1,0
478,30030036,5,5.0,4 - 5,non-work,non-work
479,30030118,2,2.0,<=2,<0.5,<0.5
480,30030363,3,4.0,3 - 4,1,0
481,30030380,3,1.6666666666666667,<=2,<0.5,<0.5
482,30030564,4,7.0,>5,non-work,non-work
483,30030579,3,2.0,<=2,non-work,non-work
484,30030660,2,5.0,4 - 5,1,0
485,30030683,2,7.333333333333333,>5,0,<0.5
486,30030779,3,3.5,3 - 4,non-work,non-work
487,30030807,4,1.5,<=2,0.5,0.5
488,30030811,2,3.0,2 - 3,non-work,non-work
489,30030813,3,1.3333333333333333,<=2,<0.5,<0.5
490,30030822,2,4.5,4 - 5,<0.5,<0.5
491,30030907,3,4.75,4 - 5,0.5,<0.5
492,30030968,2,2.0,<=2,0.5,<0.5
493,30030971,3,3.0,2 - 3,non-work,non-work
494,30031000,3,10.0,>5,non-work,non-work
495,30031040,2,2.0,<=2,0.5,0.5
496,30031120,2,3.6666666666666665,3 - 4,1,<0.5
497,30031147,3,6.0,>5,non-work,non-work
498,30031217,2,9.0,>5,non-work,non-work
499,30031243,1,2.0,<=2,1,0.5
500,30031279,1,9.0,>5,1,0
501,30031346,1,3.0,2 - 3,1,0
502,30031368,2,5.0,4 - 5,0,0
503,30031387,3,3.4,3 - 4,non-work,non-work
504,30031516,1,3.0,2 - 3,1,0.5
505,30031519,1,3.0,2 - 3,non-work,non-work
506,30031669,3,1.0,<=2,<0.5,<0.5
507,30031672,2,4.333333333333333,4 - 5,>0.5,<0.5
508,30031680,2,2.0,<=2,non-work,non-work
509,30031698,4,5.0,4 - 5,0.5,0
510,30031741,2,5.0,4 - 5,0.5,<0.5
511,30031770,1,3.0,2 - 3,1,0
512,30031786,3,3.0,2 - 3,1,0
513,30031866,1,6.0,>5,non-work,non-work
514,30031977,3,1.5,<=2,0.5,0.5
515,30032004,2,5.0,4 - 5,0.5,0
516,30032163,5,2.5,2 - 3,non-work,non-work
517,30032194,1,4.0,3 - 4,<0.5,0
518,30032346,2,5.0,4 - 5,0,0
519,30032375,2,7.0,>5,non-work,non-work
520,30032457,1,3.3333333333333335,3 - 4,>0.5,<0.5
521,30032500,2,1.5,<=2,non-work,non-work
522,30032632,3,7.0,>5,non-work,non-work
523,30032641,3,8.0,>5,0.5,0.5
524,30032643,3,0.0,<=2,non-work,non-work
525,30032685,1,3.0,2 - 3,non-work,non-work
526,30032736,5,7.0,>5,non-work,non-work
527,30032870,3,9.0,>5,non-work,non-work
528,30032872,5,2.0,<=2,non-work,non-work
529,30032988,3,0.0,<=2,1,0.5
530,30033152,3,2.5,2 - 3,0.5,0.5
531,30033165,4,2.0,<=2,non-work,non-work
532,30033214,2,6.5,>5,1,0.5
533,30033290,2,1.0,<=2,0.5,0.5
534,30033318,1,3.0,2 - 3,non-work,non-work
535,30033335,2,3.5,3 - 4,0.5,0.5
536,30033396,2,7.0,>5,<0.5,0
537,30033405,2,6.0,>5,>0.5,<0.5
538,30033413,3,6.0,>5,non-work,non-work
539,30033432,5,1.0,<=2,<0.5,<0.5
540,30033477,2,5.5,>5,0.5,0
541,30033508,2,2.5,2 - 3,0.5,0.5
542,30033510,2,3.0,2 - 3,non-work,non-work
543,30033630,1,2.0,<=2,1,0
544,30033673,2,4.0,3 - 4,0.5,0.5
545,30033708,3,4.0,3 - 4,1,1
546,30033745,3,7.5,>5,<0.5,<0.5
547,30033906,5,0.0,<=2,non-work,non-work
548,30033907,2,4.25,4 - 5,0.5,<0.5
549,30033919,3,1.5,<=2,1,0.5
550,30034083,3,2.8,2 - 3,<0.5,<0.5
551,30034126,2,0.0,<=2,1,0
552,30034180,2,3.0,2 - 3,non-work,non-work
553,30034325,2,0.0,<=2,1,0
554,30034393,1,12.0,>5,non-work,non-work
555,30034425,2,3.0,2 - 3,1,0.5
556,30034431,2,4.5,4 - 5,non-work,non-work
557,30034500,3,6.0,>5,non-work,non-work
558,30034681,1,2.0,<=2,<0.5,<0.5
559,30034702,1,2.0,<=2,1,0.5
560,30034717,2,3.0,2 - 3,non-work,non-work
561,30034727,2,4.0,3 - 4,non-work,non-work
562,30034777,3,9.5,>5,1,0.5
563,30034787,3,7.5,>5,0,0.5
564,30034792,4,0.0,<=2,non-work,non-work
565,30034793,1,0.0,<=2,non-work,non-work
566,30034820,2,5.0,4 - 5,non-work,non-work
567,30034970,3,7.0,>5,0,0
568,30035173,4,3.0,2 - 3,non-work,non-work
569,30035186,3,2.0,<=2,1,0.5
570,30035196,3,3.0,2 - 3,>0.5,<0.5
571,30035245,2,5.0,4 - 5,non-work,non-work
572,30035251,4,1.0,<=2,non-work,non-work
573,30035322,3,7.0,>5,non-work,non-work
574,30035333,2,7.0,>5,0,1
575,30035344,2,0.0,<=2,0.5,<0.5
