,HOUSEID,TRAVDAY,HOMEOWN,HHFAMINC,WALK,BIKE,TAXI,BUS,TRAIN,PRICE,PLACE,WALK2SAVE,BIKE2SAVE,PTRANS,HHRELATD,DRVRCNT,CNTTDHH,NUMADLT,YOUNGCHILD,WRKCOUNT,LIF_CYC,RAIL,URBAN,URBANSIZE,CDIVMSAR,WEBUSE17,SMPLSRCE,DRVRCNTPROP,WRKCOUNT_ratio,NUMADLT_ratio,YOUNGCHILD_ratio,HHSIZE_cleaned,VEHOWN
709,30005945,3,HOME_OWN,9,4,Never,4,3,3,3,3,4,4,4,2,1,6,1.0,0.0,1.0,1,2,4,6,23,Daily,2,1.0,1,1,0,1,1
712,30005964,1,HOME_RENT,1,2,Rarely,5,5,5,1,1,1,1,3,2,1,2,1.0,0.0,0.0,1,2,2,6,24,Daily,2,1.0,0,1,0,1,1
714,30005995,5,HOME_OWN,NA,4,Never,5,5,5,2,2,5,5,5,1,2,8,1.0,0.0,0.5,7,2,2,6,23,Daily,2,1.0,>0.5,1,0,2,1
723,30006078,5,HOME_OWN,8,2,NA,-9,-9,-9,5,3,4,4,4,1,1,19,1.0,0.0,0.0,10,2,1,1,23,Daily,2,0.5,0,1,0,2,1
735,30006185,5,HOME_OWN,5,3,Never,5,5,5,2,3,5,5,5,1,2,0,1.0,0.0,0.0,10,2,4,6,24,Daily,2,1.0,0,1,0,2,1
737,30006198,2,HOME_RENT,4,4,Never,4,5,5,2,2,5,5,5,1,1,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,2,1,3,23,Daily,2,0.3333333333333333,<0.5,<0.5,<0.5,>2,1
747,30006273,3,HOME_OWN,7,3,Never,5,3,3,4,2,2,3,2,1,2,4,1.0,0.0,0.5,10,1,1,5,21,Daily,1,0.5,>0.5,1,0,>2,1
748,30006274,3,HOME_RENT,4,2,Never,5,4,4,3,2,5,5,5,2,1,3,1.0,0.0,0.0,9,2,4,6,23,Daily,2,1.0,0,1,0,1,1
766,30006388,2,HOME_RENT,2,1,Daily,2,4,5,2,2,1,1,1,1,1,14,0.6666666666666666,0.0,0.0,6,2,2,6,23,Daily,2,0.3333333333333333,0,>0.5,0,>2,0
771,30006397,7,HOME_RENT,6,NA,Rarely,-9,-9,-9,1,2,3,1,3,1,2,7,1.0,0.0,0.5,2,2,1,1,23,Daily,2,1.0,>0.5,1,0,2,1
806,30006683,3,NA,NA,1,Never,3,3,2,3,3,3,5,3,2,1,6,1.0,0.0,0.0,9,1,1,5,21,Daily,1,1.0,0,1,0,1,0
810,30006697,3,HOME_OWN,6,1,NA,-9,-9,-9,1,3,3,3,2,1,2,8,1.0,0.0,0.0,10,2,4,6,24,Daily,2,1.0,0,1,0,2,1
817,30006777,7,HOME_RENT,1,1,Rarely,4,1,4,5,3,1,5,1,2,0,3,1.0,0.0,1.0,1,2,1,1,23,Daily,2,0.0,1,1,0,1,0
825,30006851,1,HOME_OWN,5,2,Never,4,5,5,3,4,4,4,4,1,2,14,1.0,0.0,0.5,10,2,1,1,23,Daily,2,1.0,>0.5,1,0,2,1
827,30006890,3,HOME_RENT,4,1,Never,5,5,5,5,5,4,5,5,2,1,4,1.0,0.0,1.0,1,2,1,1,23,Daily,2,1.0,1,1,0,1,1
835,30006957,2,HOME_RENT,4,4,Never,5,4,4,3,3,5,5,5,2,1,0,1.0,0.0,1.0,1,2,2,6,22,Daily,2,1.0,1,1,0,1,1
850,30007091,6,HOME_OWN,4,5,Never,5,5,5,4,4,5,5,5,2,1,4,1.0,0.0,0.0,9,2,4,6,24,Daily,2,1.0,0,1,0,1,1
862,30007173,1,HOME_OWN,5,5,Never,5,5,5,5,5,5,5,5,1,2,0,1.0,0.0,0.0,10,2,1,1,23,Never,2,1.0,0,1,0,2,1
865,30007193,6,HOME_OWN,7,NA,NA,-9,-9,-9,4,3,4,4,4,1,2,9,1.0,0.0,1.0,2,1,4,6,21,Daily,2,1.0,1,1,0,2,1
876,30007260,4,HOME_OWN,8,4,Rarely,4,5,5,1,1,2,2,4,1,2,6,1.0,0.0,1.0,2,1,1,5,21,Daily,2,1.0,1,1,0,2,1
881,30007345,5,HOME_OWN,7,4,Rarely,4,5,5,2,2,2,3,5,2,1,5,1.0,0.0,1.0,1,2,1,3,22,Daily,2,1.0,1,1,0,1,1
882,30007347,2,HOME_OWN,7,1,Rarely,5,5,5,2,3,3,3,3,2,1,6,1.0,0.0,1.0,1,2,1,2,23,Daily,2,1.0,1,1,0,1,1
887,30007398,1,HOME_OWN,6,4,Never,4,5,5,4,3,4,4,4,2,1,3,1.0,0.0,0.0,9,2,1,2,23,Daily,2,1.0,0,1,0,1,1
898,30007462,2,HOME_RENT,11,5,Never,5,5,5,4,4,4,5,4,1,2,10,1.0,0.0,1.0,2,2,4,6,23,Daily,2,1.0,1,1,0,2,1
905,30007520,5,HOME_RENT,5,1,Never,2,4,5,2,2,1,3,1,2,1,6,1.0,0.0,0.0,1,2,2,6,24,Daily,2,1.0,0,1,0,1,0
907,30007528,5,HOME_OWN,6,1,Never,5,5,5,4,3,5,5,5,2,1,3,1.0,0.0,0.0,9,2,1,3,22,Daily,2,1.0,0,1,0,1,1
908,30007531,4,HOME_OWN,11,2,Never,5,5,5,2,2,5,5,5,1,2,7,1.0,0.0,1.0,2,2,1,3,23,Daily,2,1.0,1,1,0,2,1
914,30007556,1,HOME_OWN,6,1,NA,-9,-9,-9,2,2,5,5,5,1,2,11,0.5,0.25,0.5,4,2,4,6,23,Daily,2,0.5,>0.5,>0.5,<0.5,>2,1
925,30007603,4,HOME_OWN,8,5,Never,5,5,4,1,3,5,5,5,2,1,2,1.0,0.0,1.0,1,1,1,2,21,Daily,2,1.0,1,1,0,1,1
