,HOUSEID,HHFAMINC,WALK,TAXI,BUS,TRAIN,WALK2SAVE,BIKE2SAVE,PTRANS,HHRELATD,WRKCOUNT,LIF_CYC,URBAN,URBANSIZE,DRVRCNTPROP,HIGH_EDUC,HOMEOWN,WRKCOUNT_ratio,HHSIZE_cleaned,FT_ratio,AVG_WORK_DIST,one_job,flexible_work,HIGH_EDUC,URBANSIZE,URBAN,LIF_CYC,HHRELATD,PTRANS,BIKE2SAVE,WALK2SAVE,TRAIN,BUS,TAXI,WALK,HOMEOWN_HOME_OWN,HOMEOWN_HOME_RENT,WRKCOUNT_ratio_0,WRKCOUNT_ratio_1,WRKCOUNT_ratio_<0.5,WRKCOUNT_ratio_>0.5,HHSIZE_cleaned_1,HHSIZE_cleaned_2,HHSIZE_cleaned_>2,FT_ratio_0,FT_ratio_0.5,FT_ratio_1,FT_ratio_<0.5,FT_ratio_>0.5,FT_ratio_non-work,AVG_WORK_DIST_10 - 15 miles,AVG_WORK_DIST_5-10 miles,AVG_WORK_DIST_<=5 miles,AVG_WORK_DIST_>15 miles,AVG_WORK_DIST_Not Sure,one_job_0,one_job_0.5,one_job_1,one_job_<0.5,one_job_>0.5,one_job_non-work,flexible_work_0,flexible_work_0.5,flexible_work_1,flexible_work_<0.5,flexible_work_non-work
46,30003499,7.0,1.0,5,3,4,3.0,3.0,2.0,1,1.0,2,4,6,0.5,3.0,HOME_OWN,1,2,0,>15 miles,1,0.5,3.0,6,4,2,1,2.0,3.0,3.0,4,3,5,1.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
47,30003594,8.0,4.0,5,5,4,3.0,3.0,3.0,1,1.0,2,1,2,1.0,3.0,HOME_OWN,1,2,1,>15 miles,1,0,3.0,2,1,2,1,3.0,3.0,3.0,4,5,5,4.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
48,30003624,6.0,3.0,4,1,4,4.0,4.0,2.0,1,1.0,2,1,1,1.0,5.0,HOME_RENT,1,2,1,<=5 miles,0.5,0,5.0,1,1,2,1,2.0,4.0,4.0,4,1,4,3.0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
49,30003653,8.0,1.0,4,5,3,4.0,4.0,4.0,1,0.5,10,1,5,1.0,4.0,HOME_OWN,>0.5,2,0.5,10 - 15 miles,0.5,0,4.0,5,1,10,1,4.0,4.0,4.0,3,5,4,1.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
50,30003672,5.0,5.0,5,5,5,5.0,5.0,5.0,1,0.0,10,1,2,1.0,4.0,HOME_OWN,0,2,non-work,Not Sure,non-work,non-work,4.0,2,1,10,1,5.0,5.0,5.0,5,5,5,5.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
51,30003901,7.0,1.0,5,5,5,3.0,5.0,5.0,1,0.5,5,1,3,0.5,5.0,HOME_RENT,>0.5,2,0.5,5-10 miles,0.5,0,5.0,3,1,5,1,5.0,5.0,3.0,5,5,5,1.0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
52,30003967,3.0,2.0,5,5,5,3.0,4.0,4.0,2,0.0,9,1,1,1.0,5.0,HOME_OWN,0,1,non-work,Not Sure,non-work,non-work,5.0,1,1,9,2,4.0,4.0,3.0,5,5,5,2.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
53,30003993,5.0,2.0,5,5,5,2.0,3.0,3.0,1,0.5,10,1,1,1.0,2.0,HOME_OWN,>0.5,2,0.5,5-10 miles,0.5,0,2.0,1,1,10,1,3.0,3.0,2.0,5,5,5,2.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
54,30004056,,,4,5,3,4.0,5.0,5.0,2,1.0,1,1,2,1.0,5.0,HOME_OWN,1,1,1,>15 miles,1,1,5.0,2,1,1,2,5.0,5.0,4.0,3,5,4,,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
55,30004079,6.0,5.0,5,5,5,5.0,5.0,5.0,2,0.0,9,4,6,1.0,4.0,HOME_RENT,0,1,non-work,Not Sure,non-work,non-work,4.0,6,4,9,2,5.0,5.0,5.0,5,5,5,5.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
56,30004116,,,-9,-9,-9,5.0,5.0,5.0,1,1.0,2,4,6,1.0,3.0,HOME_OWN,1,2,1,>15 miles,1,0.5,3.0,6,4,2,1,5.0,5.0,5.0,-9,-9,-9,,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
57,30004142,4.0,2.0,-9,-9,-9,3.0,3.0,3.0,2,0.0,9,4,6,1.0,3.0,HOME_OWN,0,1,non-work,Not Sure,non-work,non-work,3.0,6,4,9,2,3.0,3.0,3.0,-9,-9,-9,2.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
58,30004351,8.0,5.0,5,5,5,4.0,4.0,4.0,1,0.6666666666666666,4,1,1,0.6666666666666666,5.0,HOME_OWN,>0.5,>2,>0.5,>15 miles,>0.5,<0.5,5.0,1,1,4,1,4.0,4.0,4.0,5,5,5,5.0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
59,30004430,7.0,4.0,5,5,5,4.0,4.0,4.0,1,1.0,2,1,1,1.0,4.0,HOME_OWN,1,2,1,<=5 miles,1,0.5,4.0,1,1,2,1,4.0,4.0,4.0,5,5,5,4.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
60,30004446,4.0,2.0,5,5,5,4.0,4.0,3.0,1,0.0,10,1,5,1.0,2.0,HOME_OWN,0,2,non-work,Not Sure,non-work,non-work,2.0,5,1,10,1,3.0,4.0,4.0,5,5,5,2.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
61,30004479,6.0,3.0,5,5,4,3.0,3.0,3.0,1,0.5,10,4,6,1.0,4.0,HOME_OWN,>0.5,2,0.5,5-10 miles,0.5,0.5,4.0,6,4,10,1,3.0,3.0,3.0,4,5,5,3.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
62,30004490,8.0,4.0,5,5,5,2.0,2.0,4.0,1,1.0,8,4,6,1.0,2.0,HOME_OWN,1,>2,1,10 - 15 miles,1,<0.5,2.0,6,4,8,1,4.0,2.0,2.0,5,5,5,4.0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
63,30004535,4.0,2.0,4,2,-9,3.0,3.0,5.0,1,0.5,2,1,1,1.0,5.0,HOME_RENT,>0.5,2,0.5,Not Sure,0,0,5.0,1,1,2,1,5.0,3.0,3.0,-9,2,4,2.0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
