,HOUSEID,TRAVDAY,HOMEOWN,HHFAMINC,WALK,BIKE,TAXI,BUS,TRAIN,PRICE,PLACE,WALK2SAVE,BIKE2SAVE,PTRANS,HHRELATD,DRVRCNT,CNTTDHH,NUMADLT,YOUNGCHILD,WRKCOUNT,LIF_CYC,RAIL,URBAN,URBANSIZE,CDIVMSAR,WEBUSE17,SMPLSRCE,DRVRCNTPROP,WRKCOUNT_ratio,NUMADLT_ratio,YOUNGCHILD_ratio,HHSIZE_cleaned,VEHOWN,AVG_AGE,AVG_AGE_binned,HIGH_EDUC,FT_ratio,AVG_WORK_DIST,AVG_TIME,HEALTH,avg_trips,avg_trips_binned,one_job,flexible_work
5444,30336746,4,HOME_OWN,10,5,Rarely,4,4,4,4,3,4,4,4,1,>2,18,0.4,0.0,0.6,6,1,1,2,21,Daily,2,0.6,>0.5,<0.5,0,>2,1,27.0,<=30,4.0,<0.5,>15 miles,>30,1.0,3.6,3 - 4,>0.5,<0.5
5445,30336767,3,HOME_RENT,7,1,Rarely,4,2,2,3,3,1,2,1,1,1,14,0.5,0.0,0.5,5,1,1,5,21,Daily,2,0.5,>0.5,>0.5,0,2,0,25.0,<=30,4.0,0.5,Not Sure,non-work,1.0,7.0,>5,0.5,0
5446,30336827,4,HOME_OWN,4,1,Daily,5,5,4,4,2,2,2,4,2,1,4,1.0,0.0,1.0,1,2,1,2,23,Daily,2,1.0,1,1,0,1,1,59.0,50 - 60,4.0,0,Not Sure,non-work,2.0,4.0,3 - 4,1,1
5447,30337072,5,HOME_RENT,3,3,Rarely,2,2,4,2,2,1,1,2,1,2,10,0.5,0.0,0.25,6,1,1,2,21,Daily,2,0.5,<0.5,>0.5,0,>2,1,28.5,<=30,3.0,0,<=5 miles,<=10,2.0,2.5,2 - 3,<0.5,<0.5
5448,30337156,7,HOME_OWN,6,4,NA,2,4,4,4,4,4,3,4,2,0,2,1.0,0.0,1.0,9,2,2,6,24,Daily,2,0.0,1,1,0,1,0,71.0,>60,3.0,0,<=5 miles,<=10,3.0,2.0,<=2,1,1
5449,30337210,3,HOME_OWN,NA,NA,NA,-9,-9,-9,2,3,5,5,5,1,1,13,1.0,0.0,0.0,10,2,1,3,22,Rarely,2,0.5,0,1,0,2,1,83.5,>60,2.0,non-work,Not Sure,non-work,3.0,6.5,>5,non-work,non-work
5450,30337232,6,HOME_OWN,10,1,Rarely,4,5,1,3,3,3,4,2,1,>2,6,1.0,0.0,1.0,2,1,4,6,21,Daily,2,1.0,1,1,0,>2,1,44.66666666666666,40 - 50,5.0,>0.5,>15 miles,>30,2.0,2.0,<=2,1,<0.5
5451,30337283,1,HOME_RENT,6,3,Rarely,5,5,5,1,1,2,2,2,1,2,2,1.0,0.0,1.0,2,2,4,6,24,Daily,2,1.0,1,1,0,2,1,28.5,<=30,3.0,1,10 - 15 miles,10 - 20,3.0,1.0,<=2,1,0.5
5452,30337287,5,HOME_OWN,NA,2,Never,5,5,5,4,4,4,5,4,2,1,7,1.0,0.0,0.0,9,1,1,2,21,Daily,2,1.0,0,1,0,1,1,83.0,>60,5.0,non-work,Not Sure,non-work,2.0,7.0,>5,non-work,non-work
5453,30337304,2,HOME_OWN,6,2,NA,4,4,4,5,4,5,5,5,1,1,6,1.0,0.0,0.0,10,1,1,5,21,Daily,2,0.5,0,1,0,2,1,84.5,>60,3.0,non-work,Not Sure,non-work,3.0,3.0,2 - 3,non-work,non-work
5454,30337397,7,HOME_OWN,5,2,Rarely,5,4,4,2,2,3,3,2,2,1,7,1.0,0.0,1.0,9,2,4,6,23,Daily,2,1.0,1,1,0,1,1,69.0,>60,5.0,0,<=5 miles,10 - 20,2.0,7.0,>5,1,0
5455,30337400,5,HOME_RENT,2,1,Never,5,5,5,2,2,4,4,4,2,1,0,1.0,0.0,0.0,1,2,1,3,23,Rarely,2,1.0,0,1,0,1,1,66.0,>60,2.0,non-work,Not Sure,non-work,5.0,0.0,<=2,non-work,non-work
5456,30337409,7,HOME_OWN,3,1,Never,5,5,5,2,3,2,3,3,2,0,0,1.0,0.0,0.0,9,1,2,6,21,Daily,2,0.0,0,1,0,1,1,80.0,>60,3.0,non-work,Not Sure,non-work,2.0,0.0,<=2,non-work,non-work
5457,30337419,7,HOME_OWN,4,NA,NA,-9,-9,-9,1,2,5,5,5,2,1,0,1.0,0.0,0.0,9,2,2,6,23,Never,2,1.0,0,1,0,1,1,74.0,>60,2.0,non-work,Not Sure,non-work,3.0,0.0,<=2,non-work,non-work
5458,30337569,6,HOME_RENT,5,1,NA,1,1,1,3,2,2,3,1,1,0,13,0.8,0.0,0.6,6,1,1,5,21,Daily,2,0.0,>0.5,>0.5,0,>2,0,25.4,<=30,2.0,<0.5,>15 miles,>30,2.0,2.6,2 - 3,<0.5,<0.5
5459,30337578,7,HOME_OWN,7,4,Never,4,4,4,4,3,5,5,5,2,1,6,1.0,0.0,1.0,1,1,1,2,21,Daily,2,1.0,1,1,0,1,1,66.0,>60,4.0,1,<=5 miles,<=10,1.0,6.0,>5,1,0
5460,30337599,1,HOME_OWN,7,3,Rarely,4,5,5,2,4,2,2,4,2,1,7,1.0,0.0,1.0,1,2,2,6,24,Daily,2,1.0,1,1,0,1,1,33.0,30 - 40,4.0,1,<=5 miles,<=10,1.0,7.0,>5,1,0
5461,30337681,5,HOME_OWN,8,5,Never,5,5,5,1,1,5,5,5,1,2,2,1.0,0.0,0.0,10,2,4,6,24,Daily,2,1.0,0,1,0,2,1,68.0,>60,3.0,non-work,Not Sure,non-work,4.0,1.0,<=2,non-work,non-work
5462,30337703,3,HOME_RENT,1,1,Rarely,2,4,5,3,3,1,3,3,2,0,6,1.0,0.0,0.0,1,2,2,6,23,Daily,1,0.0,0,1,0,1,0,48.0,40 - 50,2.0,non-work,Not Sure,non-work,4.0,6.0,>5,non-work,non-work
5463,30337731,6,NA,1,1,Rarely,3,5,5,1,2,2,4,3,2,1,2,1.0,0.0,0.0,1,2,1,1,23,Daily,2,1.0,0,1,0,1,1,48.0,40 - 50,3.0,non-work,Not Sure,non-work,4.0,2.0,<=2,non-work,non-work
5464,30337911,2,HOME_OWN,8,1,Rarely,5,5,5,2,3,4,4,4,1,2,12,0.4,0.2,0.0,4,2,1,1,23,Daily,2,0.4,0,<0.5,<0.5,>2,1,25.5,<=30,4.0,non-work,Not Sure,non-work,2.0,3.0,2 - 3,non-work,non-work
5465,30338006,1,HOME_OWN,8,5,Never,5,5,5,2,2,4,4,4,2,1,3,1.0,0.0,1.0,1,2,4,6,24,Daily,2,1.0,1,1,0,1,1,61.0,>60,2.0,1,>15 miles,>30,1.0,3.0,2 - 3,1,0
5466,30338018,3,HOME_OWN,9,4,Never,5,5,5,1,2,4,4,4,1,2,4,1.0,0.0,1.0,2,2,4,6,23,Daily,2,1.0,1,1,0,2,1,53.5,50 - 60,3.0,1,>15 miles,20 - 30,1.0,2.0,<=2,1,0.5
5467,30338125,4,HOME_OWN,6,1,Never,5,5,5,4,4,4,5,4,1,2,14,1.0,0.0,0.0,10,2,1,1,23,Daily,2,1.0,0,1,0,2,1,79.0,>60,5.0,non-work,Not Sure,non-work,3.0,7.0,>5,non-work,non-work
5468,30338319,6,HOME_OWN,4,4,Never,4,4,4,2,4,4,4,3,2,1,5,1.0,0.0,1.0,1,2,1,3,22,Daily,2,1.0,1,1,0,1,1,36.0,30 - 40,3.0,1,5-10 miles,10 - 20,2.0,5.0,4 - 5,1,1
5469,30338331,1,HOME_RENT,5,2,Rarely,5,5,5,4,4,2,2,3,1,2,8,1.0,0.0,1.0,2,2,2,6,24,Daily,2,1.0,1,1,0,2,1,25.5,<=30,4.0,0.5,5-10 miles,10 - 20,2.0,4.0,3 - 4,1,0.5
5470,30338377,4,HOME_RENT,1,2,Never,5,4,5,2,4,2,4,2,2,0,4,1.0,0.0,0.0,1,2,1,1,23,Never,2,0.0,0,1,0,1,0,60.0,50 - 60,2.0,non-work,Not Sure,non-work,3.0,4.0,3 - 4,non-work,non-work
5471,30338407,2,HOME_OWN,7,2,Never,5,5,5,1,2,3,5,5,1,2,2,1.0,0.0,0.5,2,2,4,6,23,Daily,2,1.0,>0.5,1,0,2,1,58.5,50 - 60,4.0,0.5,10 - 15 miles,10 - 20,2.0,1.0,<=2,0.5,0
5472,30338462,1,HOME_OWN,6,4,Never,4,4,4,3,4,4,4,4,2,1,5,1.0,0.0,1.0,1,2,1,3,23,Daily,1,1.0,1,1,0,1,1,45.0,40 - 50,4.0,1,<=5 miles,10 - 20,2.0,5.0,4 - 5,1,0
5473,30338467,3,HOME_OWN,4,1,Rarely,5,1,4,2,2,3,3,5,2,1,8,1.0,0.0,0.0,9,2,1,1,23,Rarely,2,1.0,0,1,0,1,1,73.0,>60,3.0,non-work,Not Sure,non-work,2.0,8.0,>5,non-work,non-work
5474,30338536,6,HOME_RENT,1,1,Never,5,4,4,2,2,2,4,3,1,2,6,1.0,0.0,0.0,10,1,1,5,21,Daily,2,1.0,0,1,0,2,1,63.0,>60,4.0,non-work,Not Sure,non-work,3.0,3.0,2 - 3,non-work,non-work
5475,30338568,5,HOME_OWN,6,3,Rarely,5,5,5,3,3,3,3,3,1,2,8,1.0,0.0,0.5,10,2,4,6,24,Rarely,2,1.0,>0.5,1,0,2,1,63.0,>60,3.0,0.5,>15 miles,>30,3.0,4.0,3 - 4,0.5,0.5
5476,30338626,1,HOME_OWN,11,3,Never,3,5,4,5,3,5,5,3,1,2,10,1.0,0.0,1.0,2,1,4,6,21,Daily,2,1.0,1,1,0,2,1,55.0,50 - 60,5.0,1,5-10 miles,10 - 20,2.0,5.0,4 - 5,1,0
5477,30338656,3,HOME_OWN,8,5,Never,4,5,4,3,3,5,5,5,1,2,11,0.5,0.0,0.5,6,1,1,5,21,Daily,2,0.5,>0.5,>0.5,0,>2,1,26.75,<=30,3.0,0.5,5-10 miles,>30,3.0,2.75,2 - 3,0.5,<0.5
5478,30338658,3,HOME_OWN,2,5,Never,5,5,5,5,3,5,5,5,2,0,0,1.0,0.0,0.0,1,2,1,1,23,Never,2,0.0,0,1,0,1,0,82.0,>60,1.0,non-work,Not Sure,non-work,3.0,0.0,<=2,non-work,non-work
5479,30338665,4,HOME_OWN,2,1,Never,3,3,5,3,3,3,5,2,2,1,2,1.0,0.0,1.0,1,2,1,1,23,Rarely,2,1.0,1,1,0,1,0,63.0,>60,5.0,0,>15 miles,>30,2.0,2.0,<=2,1,1
5480,30338689,2,HOME_OWN,4,5,Never,5,5,5,4,4,5,5,5,1,2,7,1.0,0.0,0.0,10,2,2,6,24,Daily,2,1.0,0,1,0,2,1,71.0,>60,2.0,non-work,Not Sure,non-work,4.0,3.5,3 - 4,non-work,non-work
5481,30338789,3,HOME_OWN,5,4,Never,5,4,4,3,3,5,5,5,2,1,0,1.0,0.0,0.0,9,2,1,3,22,Daily,2,1.0,0,1,0,1,1,81.0,>60,3.0,non-work,Not Sure,non-work,3.0,0.0,<=2,non-work,non-work
5482,30338801,2,HOME_OWN,6,3,Never,5,5,5,1,4,4,4,4,1,>2,9,1.0,0.0,1.0,2,2,1,3,22,Daily,2,1.0,1,1,0,>2,1,48.0,40 - 50,3.0,1,5-10 miles,10 - 20,2.0,3.0,2 - 3,1,<0.5
5483,30339015,2,HOME_OWN,2,4,Never,5,5,5,4,4,4,4,4,2,0,0,1.0,0.0,0.0,9,1,4,6,21,Never,2,0.0,0,1,0,1,0,82.0,>60,2.0,non-work,Not Sure,non-work,2.0,0.0,<=2,non-work,non-work
5484,30339045,4,HOME_OWN,5,3,Rarely,5,5,5,2,2,3,3,4,1,2,6,1.0,0.0,1.0,10,2,4,6,23,Daily,1,1.0,1,1,0,2,1,58.5,50 - 60,3.0,0.5,10 - 15 miles,10 - 20,4.0,3.0,2 - 3,1,0.5
5485,30339046,1,HOME_OWN,10,4,Never,4,4,4,4,3,5,3,3,1,>2,3,1.0,0.0,1.0,2,1,1,5,21,Daily,2,1.0,1,1,0,>2,1,42.0,40 - 50,5.0,1,>15 miles,>30,2.0,1.0,<=2,1,<0.5
5486,30339053,4,HOME_OWN,NA,5,Never,5,5,5,5,4,5,5,5,1,2,31,0.5,0.0,0.5,6,1,1,5,21,Rarely,1,0.5,>0.5,>0.5,0,>2,1,34.0,30 - 40,3.0,0,5-10 miles,<=10,3.0,7.75,>5,0.5,<0.5
5487,30339083,1,HOME_RENT,8,1,Never,3,5,2,5,5,5,5,2,2,1,0,1.0,0.0,1.0,1,1,1,5,21,Daily,1,1.0,1,1,0,1,1,39.0,30 - 40,1.0,non-work,Not Sure,non-work,3.0,0.0,<=2,non-work,non-work
5488,30339240,5,HOME_OWN,6,5,Never,5,5,5,3,4,5,5,5,2,1,2,1.0,0.0,1.0,1,1,1,5,21,Daily,2,1.0,1,1,0,1,1,56.0,50 - 60,2.0,1,>15 miles,>30,3.0,2.0,<=2,1,1
5489,30339255,7,HOME_OWN,3,2,Rarely,5,5,4,3,5,3,3,3,1,2,14,0.3333333333333333,0.5,0.3333333333333333,4,2,2,6,24,Daily,2,0.3333333333333333,<0.5,<0.5,>0.5,>2,1,22.0,<=30,5.0,<0.5,10 - 15 miles,10 - 20,2.0,4.666666666666667,4 - 5,<0.5,0
5490,30339258,7,HOME_OWN,5,2,Never,5,5,5,2,2,2,3,3,1,2,3,1.0,0.0,0.0,10,2,4,6,24,Rarely,2,1.0,0,1,0,2,1,70.0,>60,2.0,non-work,Not Sure,non-work,4.0,1.5,<=2,non-work,non-work
5491,30339278,6,HOME_RENT,2,1,Never,4,2,5,2,3,5,5,3,2,0,2,1.0,0.0,0.0,1,2,1,2,23,Daily,2,0.0,0,1,0,1,0,60.0,50 - 60,5.0,non-work,Not Sure,non-work,2.0,2.0,<=2,non-work,non-work
5492,30339472,7,HOME_RENT,5,4,Never,5,5,5,1,2,4,4,4,2,2,4,1.0,0.0,1.0,2,2,4,6,24,Daily,2,1.0,1,1,0,2,1,26.5,<=30,4.0,0.5,<=5 miles,10 - 20,2.0,2.0,<=2,1,0
5493,30339539,2,HOME_OWN,8,1,Rarely,5,4,4,4,3,3,4,2,1,2,10,1.0,0.0,0.3333333333333333,10,2,4,6,23,Daily,2,0.6666666666666666,<0.5,1,0,>2,1,67.66666666666667,>60,5.0,<0.5,10 - 15 miles,20 - 30,2.0,3.333333333333333,3 - 4,<0.5,<0.5
5494,30339608,6,HOME_RENT,5,3,Never,5,4,4,2,2,3,3,3,2,1,5,1.0,0.0,1.0,1,2,1,1,23,Daily,2,1.0,1,1,0,1,1,38.0,30 - 40,3.0,1,>15 miles,>30,2.0,5.0,4 - 5,1,1
5495,30339656,7,HOME_OWN,6,4,Never,5,5,4,1,1,2,5,2,1,2,0,1.0,0.0,0.0,10,1,1,5,21,Daily,2,1.0,0,1,0,2,1,77.5,>60,2.0,non-work,Not Sure,non-work,5.0,0.0,<=2,non-work,non-work
5496,30339794,6,HOME_RENT,5,1,Never,2,1,3,1,2,4,4,2,2,0,4,1.0,0.0,0.0,9,1,1,5,21,Daily,2,0.0,0,1,0,1,0,70.0,>60,1.0,non-work,Not Sure,non-work,2.0,4.0,3 - 4,non-work,non-work
5497,30339834,6,HOME_OWN,5,3,Never,5,5,5,2,2,5,3,3,1,1,11,1.0,0.0,0.5,2,2,4,6,23,Daily,2,0.5,>0.5,1,0,2,1,63.5,>60,3.0,0.5,5-10 miles,<=10,4.0,5.5,>5,0.5,0.5
5498,30339853,4,HOME_OWN,6,NA,NA,5,5,5,2,2,4,4,4,1,>2,9,1.0,0.0,0.3333333333333333,10,2,4,6,23,Daily,2,1.0,<0.5,1,0,>2,1,72.0,>60,5.0,<0.5,5-10 miles,10 - 20,4.0,3.0,2 - 3,<0.5,0
5499,30339875,2,HOME_OWN,7,2,Never,5,4,4,2,2,2,4,4,2,1,6,1.0,0.0,1.0,1,1,1,2,21,Daily,2,1.0,1,1,0,1,1,54.0,50 - 60,3.0,1,>15 miles,20 - 30,3.0,6.0,>5,1,0
5500,30339996,7,HOME_OWN,4,5,Never,5,5,5,1,2,5,5,5,1,2,0,1.0,0.0,0.5,2,2,4,6,23,Rarely,2,1.0,>0.5,1,0,2,1,52.5,50 - 60,2.0,0.5,>15 miles,20 - 30,3.0,0.0,<=2,0.5,0.5
5501,30340028,4,HOME_OWN,8,3,Rarely,5,5,5,5,5,5,5,5,2,1,4,1.0,0.0,1.0,1,2,1,1,23,Daily,2,1.0,1,1,0,1,1,33.0,30 - 40,4.0,1,5-10 miles,10 - 20,2.0,4.0,3 - 4,1,0
5502,30340052,1,HOME_OWN,4,3,Never,5,5,4,3,5,5,5,5,2,1,5,1.0,0.0,0.0,9,1,1,2,21,Rarely,2,1.0,0,1,0,1,1,74.0,>60,5.0,non-work,Not Sure,non-work,3.0,5.0,4 - 5,non-work,non-work
5503,30340063,2,HOME_OWN,8,5,Never,5,5,5,3,3,5,5,5,1,2,6,1.0,0.0,0.0,10,1,4,6,21,Daily,2,1.0,0,1,0,2,1,69.5,>60,5.0,non-work,Not Sure,non-work,1.0,3.0,2 - 3,non-work,non-work
5504,30340085,5,HOME_OWN,7,5,Never,4,4,4,2,3,5,5,5,2,1,0,1.0,0.0,1.0,1,2,1,3,22,Daily,2,1.0,1,1,0,1,1,51.0,50 - 60,4.0,1,10 - 15 miles,20 - 30,1.0,0.0,<=2,1,1
5505,30340165,2,HOME_OWN,10,NA,NA,-9,-9,-9,2,3,4,4,4,1,>2,9,1.0,0.0,0.5,8,2,4,6,23,Daily,2,1.0,>0.5,1,0,>2,1,41.75,40 - 50,5.0,<0.5,<=5 miles,<=10,2.0,2.25,2 - 3,0,<0.5
5506,30340196,1,HOME_OWN,5,NA,NA,-9,-9,-9,5,2,5,5,5,1,2,5,1.0,0.0,0.5,10,2,2,6,24,Daily,2,1.0,>0.5,1,0,2,1,61.0,>60,3.0,0.5,<=5 miles,<=10,3.0,2.5,2 - 3,0.5,0.5
5507,30340207,1,HOME_OWN,7,1,Daily,5,2,5,4,4,4,2,3,1,>2,21,0.8,0.0,0.4,6,2,4,6,23,Daily,2,0.8,<0.5,>0.5,0,>2,1,32.0,30 - 40,5.0,<0.5,<=5 miles,10 - 20,1.0,4.2,4 - 5,<0.5,<0.5
5508,30340302,7,HOME_OWN,6,5,Never,5,5,5,2,3,5,5,5,2,1,6,1.0,0.0,0.0,9,2,2,6,24,Daily,1,1.0,0,1,0,1,1,72.0,>60,3.0,non-work,Not Sure,non-work,3.0,6.0,>5,non-work,non-work
5509,30340307,2,HOME_OWN,4,2,Rarely,5,5,5,3,3,2,4,5,2,1,0,1.0,0.0,0.0,9,2,1,1,23,Rarely,2,1.0,0,1,0,1,1,75.0,>60,2.0,non-work,Not Sure,non-work,2.0,0.0,<=2,non-work,non-work
5510,30340334,3,HOME_OWN,10,1,Rarely,4,5,3,4,2,4,4,3,1,2,10,1.0,0.0,1.0,2,1,4,6,21,Daily,2,1.0,1,1,0,2,1,63.0,>60,4.0,0.5,>15 miles,>30,4.0,5.0,4 - 5,1,0
5511,30340344,6,HOME_OWN,10,3,Never,4,5,4,2,3,2,3,3,1,2,8,0.5,0.0,0.5,4,1,1,5,21,Daily,2,0.5,>0.5,>0.5,0,>2,1,24.75,<=30,5.0,0.5,>15 miles,>30,2.0,2.0,<=2,0.5,<0.5
5512,30340371,2,HOME_OWN,7,NA,NA,-9,-9,-9,2,3,3,5,5,1,2,7,0.5,0.25,0.25,4,2,4,6,23,Daily,2,0.5,<0.5,>0.5,<0.5,>2,1,27.666666666666668,<=30,3.0,<0.5,Not Sure,non-work,3.0,2.333333333333333,2 - 3,<0.5,0
5513,30340417,1,HOME_OWN,11,1,Never,4,5,4,5,5,2,5,4,1,2,0,1.0,0.0,0.5,10,1,1,5,21,Daily,2,1.0,>0.5,1,0,2,1,71.0,>60,5.0,0.5,Not Sure,non-work,1.0,0.0,<=2,0.5,0
5514,30340662,3,HOME_OWN,8,5,Never,4,5,5,2,3,4,4,4,1,2,7,0.6666666666666666,0.3333333333333333,0.6666666666666666,4,2,1,3,23,Daily,2,0.6666666666666666,>0.5,>0.5,<0.5,>2,1,31.5,30 - 40,4.0,>0.5,<=5 miles,<=10,1.0,3.5,3 - 4,>0.5,<0.5
5515,30340688,5,HOME_OWN,4,2,Never,5,5,5,4,2,3,5,5,1,2,8,1.0,0.0,0.5,10,1,1,5,21,Rarely,1,1.0,>0.5,1,0,2,1,79.0,>60,2.0,0,<=5 miles,<=10,1.0,4.0,3 - 4,0.5,0.5
5516,30340770,2,HOME_OWN,9,NA,Never,5,5,5,5,5,5,5,5,1,1,13,1.0,0.0,0.0,10,1,1,5,21,Daily,2,0.5,0,1,0,2,1,67.5,>60,5.0,non-work,Not Sure,non-work,4.0,6.5,>5,non-work,non-work
5517,30340838,1,HOME_RENT,2,NA,NA,-9,-9,-9,2,NA,NA,NA,NA,2,1,0,1.0,0.0,0.0,9,2,2,6,24,Daily,2,1.0,0,1,0,1,1,73.0,>60,2.0,non-work,Not Sure,non-work,5.0,0.0,<=2,non-work,non-work
5518,30340895,1,HOME_OWN,5,NA,NA,-9,-9,-9,NA,NA,NA,NA,2,2,0,0,1.0,0.0,0.0,1,2,4,6,23,Never,2,0.0,0,1,0,1,0,92.0,>60,1.0,non-work,Not Sure,non-work,2.0,0.0,<=2,non-work,non-work
5519,30340901,7,HOME_OWN,NA,4,Never,4,4,5,1,2,5,5,5,1,2,10,0.5,0.0,0.5,6,1,1,5,21,Daily,2,0.5,>0.5,>0.5,0,>2,1,27.25,<=30,5.0,0.5,<=5 miles,10 - 20,1.0,2.5,2 - 3,0.5,<0.5
5520,30340930,1,HOME_OWN,8,2,Rarely,4,4,4,2,2,2,4,2,1,2,4,1.0,0.0,1.0,2,2,1,1,23,Daily,2,1.0,1,1,0,2,1,30.0,<=30,5.0,1,>15 miles,20 - 30,3.0,2.0,<=2,0.5,0.5
5521,30340941,6,HOME_OWN,5,5,Never,5,5,5,2,3,5,5,5,2,0,0,1.0,0.0,0.0,9,2,4,6,24,Rarely,2,0.0,0,1,0,1,1,67.0,>60,3.0,non-work,Not Sure,non-work,2.0,0.0,<=2,non-work,non-work
5522,30340987,5,HOME_OWN,4,4,Never,5,5,5,3,3,5,5,5,1,2,2,1.0,0.0,0.5,10,1,2,6,21,Daily,2,1.0,>0.5,1,0,2,1,71.5,>60,3.0,0,<=5 miles,<=10,4.0,1.0,<=2,0.5,0.5
5523,30341155,2,HOME_RENT,2,5,Never,5,5,5,2,2,5,5,5,2,1,0,1.0,0.0,0.0,9,2,1,3,23,Never,2,1.0,0,1,0,1,1,62.0,>60,4.0,non-work,Not Sure,non-work,3.0,0.0,<=2,non-work,non-work
5524,30341206,4,HOME_OWN,8,4,Never,5,5,4,5,4,3,3,3,1,2,13,1.0,0.0,1.0,2,2,4,6,23,Daily,2,1.0,1,1,0,2,1,27.5,<=30,5.0,1,5-10 miles,10 - 20,2.0,6.5,>5,1,0.5
5525,30341252,2,HOME_OWN,5,3,Rarely,5,5,5,1,3,2,2,5,1,2,4,1.0,0.0,1.0,2,2,1,3,22,Daily,2,1.0,1,1,0,2,1,56.5,50 - 60,2.0,1,10 - 15 miles,20 - 30,4.0,2.0,<=2,1,0.5
5526,30341389,1,HOME_OWN,6,1,Rarely,2,3,1,5,5,5,5,2,2,1,6,1.0,0.0,1.0,1,1,1,5,21,Daily,2,1.0,1,1,0,1,0,63.0,>60,3.0,1,10 - 15 miles,>30,1.0,6.0,>5,1,1
5527,30341422,5,HOME_RENT,3,1,Never,5,5,5,2,3,4,4,4,2,1,2,1.0,0.0,0.0,1,2,1,3,22,Never,2,1.0,0,1,0,1,1,80.0,>60,3.0,non-work,Not Sure,non-work,4.0,2.0,<=2,non-work,non-work
5528,30341561,6,HOME_RENT,7,NA,NA,-9,-9,-9,5,3,4,5,4,2,0,0,1.0,0.0,0.0,9,1,1,5,21,Never,2,0.0,0,1,0,1,0,92.0,>60,1.0,non-work,Not Sure,non-work,3.0,0.0,<=2,non-work,non-work
5529,30341600,7,HOME_RENT,1,2,Never,5,4,5,1,3,1,3,2,1,1,8,0.6666666666666666,0.3333333333333333,0.0,4,2,1,3,22,Daily,2,0.3333333333333333,0,>0.5,<0.5,>2,1,27.5,<=30,2.0,non-work,Not Sure,non-work,4.0,4.0,3 - 4,non-work,non-work
5530,30341612,6,HOME_OWN,4,5,Never,5,5,5,1,1,4,4,5,1,2,0,1.0,0.0,0.0,10,1,1,2,21,Daily,2,1.0,0,1,0,2,1,59.0,50 - 60,2.0,non-work,Not Sure,non-work,5.0,0.0,<=2,non-work,non-work
5531,30341814,1,HOME_OWN,5,5,Never,5,5,5,2,2,4,4,4,2,1,4,1.0,0.0,0.0,9,2,4,6,24,Daily,2,1.0,0,1,0,1,1,61.0,>60,3.0,non-work,Not Sure,non-work,1.0,4.0,3 - 4,non-work,non-work
5532,30341835,6,HOME_RENT,2,4,Never,4,5,5,1,2,4,5,5,2,1,7,1.0,0.0,1.0,1,2,2,6,24,Daily,2,1.0,1,1,0,1,1,43.0,40 - 50,3.0,0,>15 miles,20 - 30,4.0,7.0,>5,1,0
5533,30341862,4,HOME_OWN,3,3,Never,5,5,5,1,4,4,5,5,2,1,7,1.0,0.0,0.0,9,2,4,6,24,Daily,1,1.0,0,1,0,1,1,77.0,>60,2.0,non-work,Not Sure,non-work,3.0,7.0,>5,non-work,non-work
5534,30342021,2,HOME_RENT,6,2,Never,5,4,4,3,2,1,5,3,2,1,8,1.0,0.0,0.0,9,2,1,1,23,Daily,2,1.0,0,1,0,1,1,69.0,>60,4.0,non-work,Not Sure,non-work,1.0,8.0,>5,non-work,non-work
5535,30342041,2,HOME_OWN,8,1,Never,5,-9,-9,3,3,4,5,5,1,2,4,1.0,0.0,0.6666666666666666,10,1,1,5,21,Daily,2,0.6666666666666666,>0.5,1,0,>2,1,72.33333333333333,>60,5.0,<0.5,>15 miles,>30,3.0,1.3333333333333333,<=2,<0.5,<0.5
5536,30342111,1,HOME_OWN,9,4,Never,4,5,5,4,3,5,5,5,2,2,2,1.0,0.0,1.0,2,2,4,6,24,Daily,2,1.0,1,1,0,2,1,61.5,>60,5.0,1,<=5 miles,<=10,2.0,1.0,<=2,1,0.5
5537,30342133,5,HOME_OWN,10,5,Never,5,5,5,2,2,5,5,5,1,>2,26,1.0,0.0,0.75,10,1,1,5,21,Daily,2,1.0,>0.5,1,0,>2,1,42.0,40 - 50,4.0,<0.5,5-10 miles,10 - 20,2.0,6.5,>5,0.5,<0.5
5538,30342179,3,HOME_OWN,6,5,Never,5,5,5,5,2,3,3,3,1,2,10,1.0,0.0,1.0,2,2,4,6,24,Daily,2,1.0,1,1,0,2,1,34.0,30 - 40,5.0,1,<=5 miles,<=10,3.0,5.0,4 - 5,1,0.5
5539,30342181,1,HOME_OWN,10,NA,NA,-9,-9,-9,4,4,5,4,4,1,2,8,0.5,0.0,0.25,6,2,1,3,22,Daily,2,0.5,<0.5,>0.5,0,>2,1,25.0,<=30,5.0,<0.5,>15 miles,20 - 30,1.0,2.0,<=2,<0.5,0
5540,30342204,1,HOME_OWN,3,4,Never,5,5,5,3,3,3,4,4,2,1,0,1.0,0.0,0.0,9,2,4,6,23,Daily,2,1.0,0,1,0,1,1,67.0,>60,3.0,non-work,Not Sure,non-work,1.0,0.0,<=2,non-work,non-work
5541,30342280,6,HOME_OWN,8,5,Never,5,5,5,4,4,4,4,4,1,2,5,0.5,0.25,0.5,4,2,4,6,23,Daily,2,0.5,>0.5,>0.5,<0.5,>2,1,27.0,<=30,5.0,<0.5,10 - 15 miles,10 - 20,1.0,1.6666666666666667,<=2,0.5,<0.5
