,HOUSEID,HOMEOWN,HHFAMINC,WALK,BIKE,TAXI,BUS,TRAIN,PRICE,PLACE,WALK2SAVE,BIKE2SAVE,PTRANS,HHRELATD,CNTTDHH,NUMADLT,YOUNGCHILD,WRKCOUNT,LIF_CYC,RAIL,URBAN,URBANSIZE,CDIVMSAR,WEBUSE17,DRVRCNTPROP,WRKCOUNT_ratio,NUMADLT_ratio,YOUNGCHILD_ratio,HHSIZE_cleaned,VEHOWN,AVG_AGE,AVG_AGE_binned,HIGH_EDUC,FT_ratio,AVG_WORK_DIST,AVG_TIME,HEALTH,avg_trips,avg_trips_binned,one_job,flexible_work
27,30001485,HOME_RENT,3,,,-9,-9,-9,2,2,3,3,3,2,4,1,0,0,9,1,1,2,21,Never,1,0,1,0,1,1,85,>60,2,non-work,Not Sure,non-work,3,4,3-Apr,non-work,non-work
28,30001487,HOME_OWN,5,2,Rarely,5,5,5,2,1,2,3,5,2,2,1,0,0,9,2,2,6,24,Daily,1,0,1,0,1,1,69,>60,3,non-work,Not Sure,non-work,2,2,<=2,non-work,non-work
29,30001511,HOME_OWN,5,4,Never,5,5,5,1,3,4,4,4,1,2,1,0,1,2,2,1,3,22,Daily,1,1,1,0,2,1,58,50 - 60,2,0.5,<=5 miles,<=10,4,1,<=2,0.5,0.5
30,30001625,HOME_RENT,1,2,Rarely,5,2,2,3,2,2,3,2,2,2,1,0,0,1,1,1,5,21,Rarely,0,0,1,0,1,0,53,50 - 60,1,non-work,Not Sure,non-work,2,2,<=2,non-work,non-work
31,30001906,HOME_OWN,,4,Never,5,5,5,2,3,2,3,5,1,4,1,0,1,2,1,1,2,21,Daily,1,1,1,0,2,1,46.5,40 - 50,5,1,>15 miles,>30,3,2,<=2,1,0.5
32,30001915,HOME_OWN,4,5,Never,5,5,5,1,2,5,5,5,1,0,1,0,0,10,2,4,6,22,Daily,1,0,1,0,2,1,53,50 - 60,2,non-work,Not Sure,non-work,4,0,<=2,non-work,non-work
33,30002022,HOME_OWN,1,1,Never,5,5,4,1,1,2,5,5,2,0,1,0,0,9,2,1,1,23,Daily,1,0,1,0,1,1,61,>60,3,non-work,Not Sure,non-work,3,0,<=2,non-work,non-work
34,30002274,HOME_OWN,4,1,Never,5,5,5,1,3,4,5,3,2,3,1,0,0,9,1,4,6,21,Daily,1,0,1,0,1,1,73,>60,4,non-work,Not Sure,non-work,2,3,2-Mar,non-work,non-work
35,30002835,HOME_OWN,11,3,Rarely,5,5,5,2,3,4,4,4,1,16,1,0,1,2,1,1,5,21,Daily,1,1,1,0,2,1,56.5,50 - 60,4,1,>15 miles,Oct-20,3,8,>5,1,0.5
36,30002883,HOME_OWN,8,1,Rarely,5,4,4,4,4,4,5,4,1,11,1,0,1,10,2,1,1,23,Daily,1,1,1,0,>2,1,55.66666667,50 - 60,5,>0.5,<=5 miles,Oct-20,2,3.666666667,3-Apr,1,<0.5
37,30002989,HOME_OWN,8,5,Never,5,5,5,2,2,5,5,5,1,2,1,0,0.5,10,2,4,6,24,Daily,1,>0.5,1,0,2,1,73,>60,4,0,<=5 miles,<=10,1,1,<=2,0.5,0.5
38,30003127,HOME_OWN,9,5,Never,4,-9,-9,5,4,4,4,4,2,7,1,0,0,9,1,1,5,21,Daily,1,0,1,0,1,1,76,>60,5,non-work,Not Sure,non-work,2,7,>5,non-work,non-work
39,30003158,HOME_OWN,6,5,Never,5,5,5,1,1,5,5,5,1,0,1,0,1,2,2,4,6,23,Daily,1,1,1,0,2,1,43,40 - 50,2,1,10 - 15 miles,Oct-20,3,0,<=2,0.5,0.5
40,30003171,HOME_OWN,,1,Rarely,5,5,5,4,2,2,2,3,1,4,1,0,1,2,2,2,6,24,Daily,1,1,1,0,2,1,53.5,50 - 60,5,1,<=5 miles,<=10,1,2,<=2,1,0.5
41,30003209,HOME_OWN,4,2,Rarely,5,4,2,1,1,2,2,4,1,6,1,0,1,2,1,1,5,21,Daily,1,1,1,0,2,1,28.5,<=30,5,1,10 - 15 miles,>30,2,3,2-Mar,0.5,0.5
